光谱名称,粒子种类,拟合区间(nm),未去除旁峰的区间(nm),选线数据,RMSE,RMSE/nm,真实强度,拟合强度,强度误差,强度误差比例(%)
07122_95_random.csv,SmII,360.390000-361.520000,360.390000-361.520000,FeI 360.667900 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),125.13712349869068,110.74081725547893,626.9,2887.134614110984,2260.234614110984,360.54149212170745
07122_95_random.csv,SmII,369.200000-369.700000,369.200000-369.880000,SmII 369.398900 nm (target); FeI 369.400589 nm; FeI 369.505245 nm,10.12969411971551,20.25938823943102,53.04,312.3273309894783,259.2873309894783,488.85243399222907
07145_95_random.csv,ErII,390.120000-391.230000,390.120000-391.230000,FeI 390.294512 nm; SiI 390.552310 nm; ErII 390.631100 nm (target),135.71154388225582,122.26265214617491,198.6,4158.4646268247925,3959.8646268247926,1993.8895401937525
07145_95_random.csv,ErII,349.400000-350.290000,349.400000-350.290000,FeI 349.710322 nm; FeI 349.784032 nm; ErII 349.910400 nm (target),136.30267430719454,153.14907225526733,247.9,145.92209532204848,101.97790467795153,41.13671023717286
07145_95_random.csv,ErII,361.490000-362.630000,361.490000-362.630000,ErII 361.656500 nm (target); FeI 361.876750 nm; FeI 362.146050 nm,106.8782740781856,93.75287199840955,94.93,138.7798321647223,43.8498321647223,46.19175409746371
07145_95_random.csv,LaI,624.220000-625.660000,624.220000-625.660000,AlII 624.320000 nm; AlII 624.337000 nm; LaI 624.993000 nm (target),38.36192441208622,26.64022528617208,430.2,435.2600000000009,5.060000000000912,1.1761971176199237
07145_95_random.csv,LaI,564.260000-565.250000,564.260000-565.250000,FeII 564.539000 nm; LaI 564.825000 nm (target); FeII 564.889960 nm,7.851444118603761,7.930751634953221,172.9,180.85,7.949999999999989,4.59803354540196
07145_95_random.csv,LaI,657.340000-658.680000,657.340000-658.680000,LaI 657.850000 nm (target),7.2873473764884285,5.438318937678264,78.42,78.42,0.0,0.0
07145_95_random.csv,LaII,394.670000-395.430000,394.670000-395.430000,FeI 394.877470 nm; LaII 394.910000 nm (target); FeI 395.116320 nm,570.3777648752073,750.4970590463344,15850.0,16285.367013699375,435.3670136993751,2.7467950391127767
07145_95_random.csv,LaII,398.490000-399.220000,398.490000-399.220000,MgI 398.675330 nm; LaII 398.852000 nm (target),317.36324739892905,434.74417451907004,8384.0,10515.489411355447,2131.4894113554474,25.423299276663258
07145_95_random.csv,LaII,411.990000-412.650000,411.990000-412.650000,FeIII 412.202300 nm; LaII 412.323000 nm (target); FeI 412.561990 nm,128.84053118233143,195.21292603384492,7993.0,8340.789221690415,347.7892216904147,4.351172547108904
07145_95_random.csv,LaII,399.220000-400.200000,399.220000-400.200000,LaII 399.575000 nm (target); FeI 399.696350 nm; FeI 399.739170 nm,67.48872219691233,68.86604305807653,6054.0,6072.470433493606,18.470433493605924,0.3050947058739003
07145_95_random.csv,LaII,386.840000-387.630000,386.840000-387.630000,LaII 387.164000 nm (target); FeI 387.250102 nm; CaI 387.577640 nm,177.44461555602254,224.61343741268095,5269.0,4916.097051398718,352.90294860128233,6.697721552501087
07145_95_random.csv,SmII,359.050000-359.700000,359.050000-359.700000,SmII 359.260300 nm (target); FeI 359.463208 nm,73.77226340724937,113.4957898573107,691.6,887.1076171367009,195.5076171367009,28.268886225665252
07145_95_random.csv,SmII,360.690000-361.490000,360.410000-361.490000,FeI 360.885895 nm; SmII 360.949100 nm (target); FeI 361.015895 nm,378.9499503544937,473.6874379431104,603.4,2059.2919936768367,1455.8919936768366,241.28140432165011
07145_95_random.csv,SmII,362.630000-363.870000,362.630000-363.870000,CaI 363.075220 nm; FeI 363.146292 nm; SmII 363.429000 nm (target),467.0215454388159,376.63027857968746,560.5,1707.4003289769275,1146.9003289769275,204.62093291292197
07145_95_random.csv,SmII,369.100000-369.800000,369.100000-369.800000,SmII 369.398900 nm (target); FeI 369.400589 nm; FeI 369.505245 nm,180.44597211125895,257.7799601589455,49.21,10169.910470057572,10120.700470057573,20566.34925839783
07145_95_random.csv,TbII,350.290000-351.170000,350.290000-351.170000,FeI 350.847390 nm; TbII 350.914600 nm (target); NaI 351.093000 nm,1963.3103012644774,2231.0344332550994,368.3,0.0,368.3,100.0
07145_95_random.csv,TbII,384.470000-385.360000,384.470000-385.360000,FeI 384.680010 nm; TbII 384.874000 nm (target); FeI 384.996631 nm,50.57956439552494,56.83097123092777,454.6,3498.9647145109243,3044.3647145109244,669.6798756073305
07145_95_random.csv,TbII,386.840000-387.630000,386.840000-387.630000,FeI 387.250102 nm; TbII 387.417200 nm (target); CaI 387.577640 nm,1254.1392772011009,1587.5180724064157,754.3,0.0,754.3,100.0
07145_95_random.csv,TmII,384.470000-385.360000,384.470000-385.360000,FeI 384.680010 nm; TmII 384.802000 nm (target); FeI 384.996631 nm,479.62115381012694,538.9001728203756,508.2,2559.5597013337756,2051.359701333776,403.6520467008611
07145_95_random.csv,TmII,345.970000-346.340000,345.970000-347.030000,FeI 345.991410 nm; TmII 346.220000 nm (target),74.50093723376561,201.3538844156112,646.4,698.9246774837218,52.5246774837218,8.125723620625278
07145_95_random.csv,TmII,312.760000-313.330000,312.760000-313.330000,NaII 312.937600 nm; TmII 313.126000 nm (target); FeI 313.251786 nm,10.803633993597073,18.953743848416142,852.2,828.3872795751016,23.81272042489843,2.7942643070756197
07145_95_random.csv,TmII,342.060000-342.590000,342.060000-343.060000,FeI 342.428418 nm; FeI 342.501000 nm; TmII 342.508000 nm (target),31.25178710185117,58.96563604123166,459.7,137.2864978447227,322.4135021552773,70.13563240271422
07145_95_random.csv,TmII,343.570000-344.320000,343.570000-344.320000,FeI 344.060547 nm; FeI 344.098835 nm; TmII 344.150000 nm (target),70.28113636725298,93.70818182300398,287.0,0.0,287.0,100.0
07405_95_random.csv,SmII,359.010000-359.810000,359.010000-359.810000,SiIII 359.046500 nm; SmII 359.260300 nm (target); FeI 359.463208 nm,22.072843609573805,27.591054511966863,3404.0,3372.1606674884024,31.839332511597604,0.935350543818966
07405_95_random.csv,SmII,360.390000-361.510000,360.390000-361.510000,FeI 360.667900 nm; FeI 360.885895 nm; SmII 360.949100 nm (target),129.77278377212087,115.86855693939317,2971.0,5093.219491650693,2122.2194916506933,71.43115084653967
