Wavelength (nm),Sum(calc),Na I (5.2e-4),Na II (1.1e-2),Na III (4.0e-21),Mg I (4.2e-3),Mg II (3.4e-2),Mg III (2.1e-5),Al I (1.3e-2),Al II (8.9e-2),Al III (2.5e-6),Si I (1.5e-1),Si II (2.9e-1),Si III (1.4e-5),K I (7.7e-4),K II (2.5e-2),K III (6.9e-13),Ca I (7.8e-3),Ca II (1.9e-1),Ca III (2.7e-3),Mn I (3.2e-4),Mn II (2.6e-3),Fe I (2.1e-2),Fe II (1.1e-1),Fe III (1.5e-5),Cu I (8.5e-3),Cu II (2.1e-2),Zn I (5.7e-4),Zn II (8.9e-4),Mo I (9.1e-6),Pb I (2.5e-5),Pb II (1.5e-4)
359.51,1.374e+2,5.171e-30,6.346e-28,,9.788e-15,6.982e-17,,1.488e-12,3.250e-3,5.966e-9,6.146e-13,2.008e-15,3.509e-10,,5.332e-17,,9.905e-14,3.557e-12,1.326e-27,4.532e+0,1.632e-18,1.328e+2,2.371e-15,2.603e-22,3.644e-12,8.247e-19,1.174e-14,3.186e-17,9.371e-2,1.026e-15,
359.54,1.319e+2,5.170e-30,6.283e-28,,9.606e-15,6.988e-17,,1.489e-12,1.719e-3,9.808e-9,6.147e-13,2.010e-15,2.416e-10,,1.541e-16,,9.915e-14,3.554e-12,1.325e-27,4.482e+0,1.632e-18,1.273e+2,2.358e-15,2.600e-22,3.641e-12,8.246e-19,1.174e-14,3.185e-17,1.011e-1,1.037e-15,
359.56,1.271e+2,5.169e-30,6.241e-28,,9.485e-15,6.992e-17,,1.489e-12,1.110e-3,1.349e-8,6.148e-13,2.012e-15,1.860e-10,,3.085e-16,,9.921e-14,3.551e-12,1.325e-27,4.393e+0,1.632e-18,1.226e+2,2.350e-15,2.599e-22,3.639e-12,8.246e-19,1.174e-14,3.185e-17,1.066e-1,1.045e-15,
359.58,1.216e+2,5.168e-30,6.198e-28,,9.363e-15,6.996e-17,,1.490e-12,7.091e-4,1.835e-8,6.149e-13,2.013e-15,1.416e-10,,6.115e-16,,9.927e-14,3.549e-12,1.324e-27,4.261e+0,1.631e-18,1.172e+2,2.341e-15,2.597e-22,3.638e-12,8.246e-19,1.174e-14,3.185e-17,1.125e-1,1.052e-15,
359.61,1.126e+2,5.167e-30,6.135e-28,,9.181e-15,7.001e-17,,1.490e-12,3.553e-4,2.856e-8,6.151e-13,2.015e-15,9.232e-11,,1.673e-15,,9.937e-14,3.546e-12,1.323e-27,3.995e+0,1.631e-18,1.084e+2,2.328e-15,2.595e-22,3.635e-12,8.246e-19,1.174e-14,3.184e-17,1.222e-1,1.063e-15,
359.63,1.063e+2,5.166e-30,6.093e-28,,9.059e-15,7.005e-17,,1.491e-12,2.213e-4,3.787e-8,6.152e-13,2.017e-15,6.850e-11,,3.231e-15,,9.943e-14,3.544e-12,1.323e-27,3.780e+0,1.631e-18,1.024e+2,2.320e-15,2.594e-22,3.633e-12,8.246e-19,1.174e-14,3.184e-17,1.291e-1,1.071e-15,
359.66,9.706e+1,5.165e-30,6.029e-28,,8.877e-15,7.011e-17,,1.491e-12,1.067e-4,5.670e-8,6.153e-13,2.019e-15,4.293e-11,,8.505e-15,,9.952e-14,3.541e-12,1.322e-27,3.417e+0,1.631e-18,9.350e+1,2.307e-15,2.591e-22,3.631e-12,8.245e-19,1.174e-14,3.184e-17,1.400e-1,1.082e-15,
359.68,9.131e+1,5.164e-30,5.987e-28,,8.755e-15,7.015e-17,,1.492e-12,6.476e-5,7.324e-8,6.154e-13,2.020e-15,3.103e-11,,1.601e-14,,9.959e-14,3.539e-12,1.321e-27,3.158e+0,1.631e-18,8.800e+1,2.299e-15,2.590e-22,3.629e-12,8.245e-19,1.174e-14,3.184e-17,1.476e-1,1.089e-15,
359.71,8.374e+1,5.162e-30,5.924e-28,,8.573e-15,7.021e-17,,1.492e-12,3.004e-5,1.055e-7,6.155e-13,2.022e-15,1.870e-11,,4.052e-14,,9.968e-14,3.536e-12,1.320e-27,2.761e+0,1.630e-18,8.082e+1,2.286e-15,2.588e-22,3.626e-12,8.245e-19,1.174e-14,3.183e-17,1.592e-1,1.100e-15,
359.73,7.963e+1,5.162e-30,5.881e-28,,8.451e-15,7.024e-17,,1.493e-12,1.777e-5,1.327e-7,6.156e-13,2.024e-15,1.317e-11,,7.431e-14,,9.974e-14,3.533e-12,1.320e-27,2.500e+0,1.630e-18,7.697e+1,2.277e-15,2.586e-22,3.624e-12,8.245e-19,1.173e-14,3.183e-17,1.670e-1,1.108e-15,
359.76,7.517e+1,5.160e-30,5.818e-28,,8.269e-15,7.030e-17,,1.494e-12,7.931e-6,1.838e-7,6.158e-13,2.026e-15,7.628e-12,,1.810e-13,,9.984e-14,3.530e-12,1.319e-27,2.128e+0,1.630e-18,7.286e+1,2.265e-15,2.584e-22,3.622e-12,8.245e-19,1.173e-14,3.182e-17,1.785e-1,1.119e-15,
359.78,7.346e+1,5.159e-30,5.776e-28,,8.147e-15,7.034e-17,,1.494e-12,4.572e-6,2.255e-7,6.159e-13,2.027e-15,5.232e-12,,3.233e-13,,9.990e-14,3.528e-12,1.318e-27,1.900e+0,1.630e-18,7.137e+1,2.256e-15,2.582e-22,3.620e-12,8.244e-19,1.173e-14,3.182e-17,1.858e-1,1.126e-15,
