Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,,
Ca I ,300.686,7.50E+07,48 563.522 ,2,,,,,,,,,,,,,,,
Ca I ,300.921,4.30E+07,48 537.623 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,302.494, , ,  ,,,,,,,,,,,,,,,
Ca III ,302.8586,5.20E+07,278 621.01  ,1,,,,,,,,,,,,,,,
Ca I ,303.454, , ,  ,,,,,,,,,,,,,,,
Ca I ,304.574, , ,  ,,,,,,,,,,,,,,,
Ca I ,305.532, , ,  ,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,307.157, , ,  ,,,,,,,,,,,,,,,
Ca I ,307.695, , ,  ,,,,,,,,,,,,,,,
Ca I ,308.079, , ,  ,,,,,,,,,,,,,,,
Ca I ,309.93, , ,  ,,,,,,,,,,,,,,,
Ca I , ,6.20E+05,47 382.048 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I , ,1.00E+06,47 382.048 ,1,,,,,,,,,,,,,,,
Ca I , ,1.70E+06,47 382.048 ,1,,,,,,,,,,,,,,,
Ca III ,311.9665,8.60E+07,279 741.80  ,2,,,,,,,,,,,,,,,
Ca II ,312.518, , ,  ,,,,,,,,,,,,,,,
Ca I ,313.602,4.10E+06,47 036.225 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca I ,314.079,4.90E+06,47 040.007 ,2,,,,,,,,,,,,,,,
Ca I , ,3.00E+06,47 036.225 ,1,,,,,,,,,,,,,,,
Ca I ,315.075,8.60E+06,47 045.241 ,3,,,,,,,,,,,,,,,
Ca I , ,1.80E+06,47 040.007 ,2,,,,,,,,,,,,,,,
Ca I , ,2.20E+05,47 036.225 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,315.887,3.10E+08,56 839.25  , 3/2 ,,,,,,,,,,,,,,,
Ca I , ,5.30E+05,46 748.283 ,1,,,,,,,,,,,,,,,
Ca I , ,2.00E+06,46 748.283 ,1,,,,,,,,,,,,,,,
Ca II ,317.933,3.60E+08,56 858.46  , 5/2 ,,,,,,,,,,,,,,,
Ca I ,318.052,2.90E+06,46 748.283 ,1,,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,,
Ca II ,318.128,5.80E+07,56 839.25  , 3/2 ,,,,,,,,,,,,,,,
Ca I ,320.996,7.30E+06,46 301.973 ,1,,,,,,,,,,,,,,,
