Ion, Observed , Aki, Ek ,J
Fe I ,505.29811, ,46 135.820  ,5
Fe II ,505.3917, ,122 946.458  , 7/2 
Fe III ,505.423,1.20E+07,188 109.74   ,3
Fe I ,505.46423,4.47E+05,49 135.023  ,3
 , , , , 
Fe III ,505.4786, ,125 673.05   ,2
Fe I ,505.5991,3.00E+05,54 555.418  ,4
Fe I ,505.68408,1.00E+06,54 132.551  ,1
Fe II ,505.6989, ,109 811.940  , 9/2 
Fe I ,505.7483, ,55 378.811  ,2
 , , , , 
Fe I ,505.7483, ,53 568.751  ,2
Fe III ,505.756, ,125 673.05   ,2
Fe I ,505.84971, ,49 135.023  ,3
Fe II ,505.9433, ,127 893.010  , 15/2 
Fe I ,506.00341, ,54 449.347  ,1
 , , , , 
Fe I ,506.00787,1.38E+02,19 757.032  ,3
Fe II , ,7.38E-01,36 126.412  , 3/2 
Fe II ,506.02488,7.30E+06,104 022.961  , 7/2 
Fe III ,506.045, ,20 688.12   ,1
Fe II ,506.17101,6.30E+07,102 887.172  , 7/2 
 , , , , 
Fe II ,506.2643, ,86 124.348  , 9/2 
Fe II ,506.29274,2.00E+06,102 882.424  , 9/2 
Fe III ,506.3459, ,89 491.77   ,1
Fe I ,506.459, ,52 613.090  ,5
Fe I ,506.49524, ,54 066.773  ,2
 , , , , 
Fe I ,506.50181, ,54 066.518  ,4
Fe II ,506.51057,1.83E+07,103 869.046  , 3/2 
Fe I ,506.51924,8.86E+05,49 108.896  ,4
Fe II ,506.5816, ,73 966.843  , 13/2 
Fe III ,506.6539, ,125 638.11   ,3
 , , , , 
Fe I ,506.71492, ,53 768.979  ,4
Fe II ,506.78901,5.40E+07,103 034.819  , 3/2 
Fe I ,506.87655,3.37E+06,43 434.627  ,3
Fe III ,506.9158,2.20E+07,188 142.78   ,2
Fe I ,506.9423, ,54 357.405  ,3
 , , , , 
Fe II ,507.05828,9.00E+05,103 024.341  , 5/2 
Fe II ,507.08959,4.80E+07,102 851.394  , 9/2 
Fe I ,507.1511, ,56 479.463  ,2
Fe I ,507.2078, ,54 257.502  ,2
Fe II ,507.2406,3.22E-02,21 581.6151 , 9/2 
 , , , , 
Fe II ,507.25629,4.00E+06,103 698.515  , 5/2 
Fe I ,507.26718, ,53 747.500  ,3
Fe III ,507.3896, ,89 491.77   ,1
Fe II ,507.38963,6.20E+06,103 969.814  , 7/2 
Fe I ,507.3897, ,51 837.238  ,3
 , , , , 
Fe II ,507.4051,2.90E+05,74 606.864  , 5/2 
Fe I ,507.4748,1.40E+07,53 739.438  ,5
Fe II ,507.57599,4.90E+07,104 022.961  , 7/2 
Fe III , ,1.70E-01,50 411.95   ,2
Fe I ,507.62642, ,54 386.186  ,1
 , , , , 
Fe II ,507.6325,2.50E+06,103 420.207  , 11/2 
Fe II ,507.65976,5.10E+06,103 406.327  , 5/2 
Fe III ,507.7671,2.50E+07,188 109.74   ,3
Fe II ,507.82902,6.20E+06,103 676.286  , 1/2 
Fe III ,507.892,2.40E+07,188 013.51   ,4
 , , , , 
Fe I ,507.89745, ,54 375.677  ,2
Fe I ,507.92227,7.38E+05,37 409.555  ,1
Fe I ,507.97396,5.19E+04,27 666.348  ,1
Fe II ,508.0222,1.60E+06,103 668.762  , 3/2 
Fe I ,508.03514, ,49 477.127  ,3
 , , , , 
Fe I ,508.07878, ,43 460.121  ,5
Fe I ,508.09358,1.80E+04,46 026.971  ,6
Fe II ,508.18976,2.80E+06,103 385.785  , 7/2 
Fe II ,508.22264,3.20E+07,103 661.038  , 5/2 
Fe I ,508.33382,4.06E+04,27 394.691  ,3
 , , , , 
Fe II ,508.3502,2.30E+07,103 125.717  , 1/2 
Fe III ,508.367,1.40E+07,188 142.78   ,2
Fe II , ,2.00E-02,27 620.4033 , 5/2 
Fe I ,508.4545, ,49 460.902  ,5
Fe III , ,9.40E-02,20 688.12   ,1
 , , , , 
Fe II ,508.52134,1.80E+06,103 385.785  , 7/2 
Fe II ,508.63071,2.50E+07,103 645.256  , 3/2 
Fe II , ,2.30E-03,20 516.9534 , 5/2 
Fe III ,508.6718, ,89 491.77   ,1
Fe II ,508.72222,2.10E+05,81 734.733  , 7/2 
 , , , , 
Fe II ,508.73,1.63E+07,103 364.897  , 5/2 
Fe II ,508.7377, ,123 251.479  , 11/2 
Fe I ,508.81528,5.10E+05,53 155.145  ,4
Fe III ,508.8933,2.00E+07,199 328.09   ,1
Fe II ,508.92129,4.40E+07,102 952.170  , 5/2 
 , , , , 
Fe II ,508.9493,1.26E+07,103 969.814  , 7/2 
Fe III ,509.057,2.60E+06,199 300.28   ,2
Fe II ,509.07734, ,107 826.940  , 3/2 
Fe I ,509.07736,1.90E+07,53 966.662  ,2
Fe III ,509.237,3.20E+07,188 109.42   ,0
 , , , , 
Fe III ,509.237,1.80E+06,199 262.55   ,3
Fe II ,509.35719,4.70E+07,103 340.699  , 7/2 
Fe II ,509.37819,2.80E+06,103 352.723  , 9/2 
Fe III ,509.4577,1.90E+07,199 300.28   ,2
Fe II ,509.49012,8.20E+06,104 046.419  , 5/2 
 , , , , 
Fe III ,509.615,5.30E+06,199 300.28   ,2
Fe II ,509.69048,8.10E+06,103 340.699  , 7/2 
Fe I ,509.69977, ,54 161.139  ,3
Fe II ,509.72737,5.30E+07,103 326.445  , 9/2 
Fe VI , ,2.70E-04,19 610.8    , 5/2 
 , , , , 
Fe VI , ,7.00E-04,19 610.8    , 5/2 
Fe I ,509.85719, ,51 294.220  ,3
Fe I ,509.86978,4.83E+05,37 157.566  ,2
Fe I ,509.9077,2.79E+06,51 739.920  ,2
Fe III ,509.9327,9.20E+06,198 821.58   ,6
 , , , , 
Fe III ,510.035,2.00E+07,199 262.55   ,3
Fe II ,510.06116,4.40E+07,103 326.445  , 9/2 
Fe II , ,2.00E+03,42 237.0575 , 7/2 
Fe II ,510.07339,1.11E+08,103 325.974  , 11/2 
Fe II ,510.0854,4.30E+05,67 273.833  , 3/2 
 , , , , 
Fe II ,510.29053,2.60E+06,103 857.804  , 5/2 
Fe I ,510.40298,5.70E+04,43 922.668  ,3
Fe II ,510.4114, ,107 572.279  , 5/2 
Fe II ,510.4145, ,123 460.713  , 9/2 
Fe I ,510.41909,2.70E+05,53 281.689  ,5
 , , , , 
Fe III ,510.44,5.20E+06,199 262.55   ,3
Fe I ,510.44372,1.80E+06,54 132.551  ,1
Fe III ,510.5331,2.40E+07,199 212.86   ,4
Fe II ,510.61061,1.81E+07,102 887.172  , 7/2 
Fe II ,510.7108,1.00E+07,103 034.819  , 3/2 
 , , , , 
Fe I ,510.74471,4.18E+04,27 559.583  ,2
Fe II ,510.75413,7.30E+06,103 385.785  , 7/2 
Fe I ,510.76407,1.95E+05,32 133.991  ,2
Fe II ,510.7959,2.96E-01,22 409.8178 , 1/2 
Fe I ,510.8403, ,56 337.126  ,3
 , , , , 
Fe III ,510.8861,4.30E+07,199 328.09   ,1
Fe II ,510.9267, ,123 441.099  , 11/2 
Fe III ,510.938,5.70E+06,198 774.09   ,5
Fe I ,510.96517, ,54 257.502  ,2
Fe II ,510.9954, ,123 396.256  , 15/2 
 , , , , 
Fe I ,511.03585,9.99E+05,48 382.603  ,5
Fe I ,511.04128,4.93E+03,19 562.439  ,4
Fe III ,511.1068,2.99E+07,199 139.93   ,5
Fe II ,511.1636,1.07E-01,21 430.3564 , 11/2 
Fe III ,511.1719,1.03E+07,198 774.09   ,5
 , , , , 
Fe I , ,2.30E-02,27 543.003  ,1
Fe II ,511.2154,5.10E+06,103 882.740  , 7/2 
Fe III , ,2.80E-01,50 411.95   ,2
Fe II ,511.2818, ,122 355.608  , 7/2 
Fe II ,511.2917, ,123 427.132  , 11/2 
 , , , , 
Fe I ,511.2917, ,59 522.714  ,3
Fe II ,511.29992,1.26E+07,103 364.897  , 5/2 
Fe III ,511.333,4.10E+06,199 212.86   ,4
Fe III ,511.464, ,89 334.88   ,2
Fe II ,511.50615,4.00E+07,103 676.286  , 1/2 
 , , , , 
Fe I ,511.57778,5.80E+04,48 361.882  ,4
Fe II ,511.6402, ,107 525.187  , 5/2 
Fe III ,511.644,3.40E+07,199 300.28   ,2
Fe II ,511.70311,5.80E+07,103 668.762  , 3/2 
Fe II ,511.8396, ,123 238.446  , 15/2 
 , , , , 
Fe II ,511.849, ,85 462.907  , 7/2 
Fe II ,511.8682,1.20E+06,103 857.804  , 5/2 
Fe V , ,2.50E-01,46 291.1    ,2
Fe II ,511.93338,6.80E+06,103 340.699  , 7/2 
Fe III ,512.0645,4.50E+06,198 717.71   ,4
 , , , , 
Fe II ,512.11009, ,123 629.564  , 9/2 
Fe I ,512.16388,7.90E+06,54 066.773  ,2
Fe II ,512.18687, ,123 270.356  , 11/2 
Fe I ,512.1973, ,48 122.928  ,3
Fe II ,512.2027, ,128 055.701  , 9/2 
 , , , , 
Fe III ,512.298,1.10E+05,125 443.72   ,4
Fe II ,512.31444, ,123 435.460  , 9/2 
Fe II ,512.31922,1.50E+05,81 639.253  , 5/2 
Fe II ,512.31922,2.50E+05,103 645.256  , 3/2 
Fe II ,512.31922, ,123 435.246  , 7/2 
 , , , , 
Fe I ,512.328, ,55 124.938  ,3
Fe II ,512.34327, ,123 219.252  , 17/2 
Fe I ,512.37196,7.24E+04,27 666.348  ,1
Fe III ,512.4157,1.30E+07,198 717.71   ,4
Fe III ,512.44,2.10E+06,199 139.93   ,5
 , , , , 
Fe I ,512.46195, ,46 135.820  ,5
Fe I ,512.51168, ,53 545.833  ,3
Fe III ,512.5612,3.30E+07,199 262.55   ,3
Fe I ,512.5834, ,52 916.295  ,2
Fe II ,512.61927, ,45 289.8248 , 3/2 
 , , , , 
Fe I ,512.6193,3.20E+06,53 830.975  ,3
Fe II ,512.6827, ,123 251.479  , 11/2 
Fe II ,512.73068, ,123 249.656  , 13/2 
Fe III ,512.7352,2.00E+05,89 334.88   ,2
Fe I ,512.7359,1.14E+04,26 874.550  ,5
 , , , , 
Fe III ,512.7638, ,89 334.88   ,2
Fe I ,512.76793,3.80E+01,19 912.495  ,2
Fe II ,512.84625, ,128 071.181  , 11/2 
Fe II ,512.8753,3.20E+06,102 952.170  , 5/2 
Fe I ,512.96305,5.50E+05,51 294.220  ,3
 , , , , 
Fe II ,513.00089, ,81 639.253  , 5/2 
Fe II ,513.01696, ,127 875.042  , 13/2 
Fe II ,513.01696, ,112 882.497  , 5/2 
Fe II ,513.0611, ,108 613.977  , 5/2 
Fe I ,513.14684,2.58E+05,37 409.555  ,1
 , , , , 
Fe II ,513.17051, ,127 869.205  , 11/2 
Fe III ,513.1999,5.30E+06,198 658.96   ,3
Fe II ,513.2003, ,123 251.479  , 11/2 
Fe II ,513.2538, ,128 055.701  , 9/2 
Fe II ,513.26462, ,112 607.597  , 7/2 
 , , , , 
Fe II ,513.26462, ,127 869.205  , 11/2 
Fe II , ,2.00E+03,42 114.8380 , 9/2 
Fe I ,513.36882, ,53 169.146  ,6
Fe III , ,1.61E-01,50 184.97   ,2
Fe II ,513.5371, ,123 441.099  , 11/2 
 , , , , 
Fe III ,513.609,1.50E+07,198 658.96   ,3
Fe III ,513.609,3.07E+07,199 212.86   ,4
Fe I ,513.6093,6.80E+05,53 229.941  ,1
Fe II ,513.6788,3.00E+03,42 401.3198 , 3/2 
Fe I ,513.73818,1.00E+07,53 155.145  ,4
 , , , , 
Fe II ,513.9071, ,123 427.132  , 11/2 
Fe I ,513.92511,9.16E+06,43 633.533  ,2
Fe I ,513.94625,8.69E+06,43 163.326  ,4
Fe II ,514.0182, ,123 435.460  , 9/2 
Fe II ,514.0249, ,123 435.246  , 7/2 
 , , , , 
Fe II ,514.06902,8.00E+06,103 437.327  , 1/2 
Fe II ,514.082, ,123 430.204  , 5/2 
Fe II ,514.13768,1.10E+07,103 869.046  , 3/2 
Fe V ,514.14,4.90E-01,46 291.1    ,2
Fe II ,514.1564, ,123 430.204  , 5/2 
 , , , , 
Fe I ,514.17387,4.86E+05,38 995.736  ,1
Fe II ,514.235, ,106 208.574  , 5/2 
Fe II ,514.235, ,123 414.735  , 13/2 
Fe I ,514.24938, ,54 132.551  ,1
Fe I ,514.25409, ,53 768.979  ,4
 , , , , 
Fe I ,514.29282,2.40E+04,27 166.820  ,4
Fe III , ,1.27E-01,50 295.10   ,3
Fe I ,514.37234,7.30E+03,37 162.746  ,3
Fe II ,514.38745,1.57E+07,103 701.778  , 9/2 
Fe II ,514.43515,8.50E+07,103 857.804  , 5/2 
 , , , , 
Fe II ,514.4745,8.00E+05,103 698.515  , 5/2 
Fe I ,514.50933,6.70E+04,37 157.566  ,2
Fe II ,514.5488, ,127 893.010  , 15/2 
Fe II ,514.57299,7.70E+07,103 418.280  , 1/2 
Fe VI , ,2.60E-01,20 616.4    , 7/2 
 , , , , 
Fe II ,514.5822,4.50E+07,103 417.935  , 3/2 
Fe I ,514.6306,2.70E+05,54 683.322  ,4
Fe II ,514.80424, ,123 251.479  , 11/2 
Fe I ,514.80425, ,53 966.662  ,2
Fe I ,514.82288, ,53 747.500  ,3
 , , , , 
Fe II ,514.85333, ,123 249.656  , 13/2 
Fe II ,514.8684, ,123 168.704  , 13/2 
Fe II ,514.88987,1.61E+07,103 406.327  , 5/2 
Fe II ,514.92295, ,123 015.399  , 13/2 
Fe III ,514.938,2.86E+07,199 139.93   ,5
 , , , , 
Fe II ,514.94624,9.00E+07,103 680.689  , 9/2 
Fe II ,515.01967, ,123 435.246  , 7/2 
Fe I ,515.01968, ,48 231.280  ,5
Fe II ,515.0256, ,127 875.042  , 13/2 
Fe II ,515.04811,2.63E+07,103 676.848  , 7/2 
 , , , , 
Fe II ,515.0611, ,110 609.548  , 3/2 
Fe I ,515.08392,3.30E+04,27 394.691  ,3
Fe II ,515.15347, ,123 430.204  , 5/2 
Fe II ,515.19104,7.00E+04,103 701.778  , 9/2 
Fe I ,515.1911,2.39E+04,27 559.583  ,2
 , , , , 
Fe II ,515.26991, ,123 002.306  , 11/2 
Fe II ,515.28719,9.00E+06,103 391.352  , 3/2 
Fe II ,515.29763, ,123 018.433  , 15/2 
Fe II ,515.37822, ,123 015.399  , 13/2 
Fe I , ,4.43E+05,50 703.870  ,5
 , , , , 
Fe II ,515.4242, ,123 270.356  , 11/2 
Fe II ,515.46797,3.30E+06,103 661.038  , 5/2 
Fe II ,515.47408,3.40E+06,103 691.094  , 11/2 
Fe II ,515.5187, ,123 435.246  , 7/2 
Fe II ,515.5672, ,110 461.272  , 3/2 
 , , , , 
Fe II ,515.5672, ,127 524.138  , 15/2 
Fe III ,515.6117, ,89 085.20   ,3
Fe I , ,1.10E-02,27 543.003  ,1
Fe II ,515.64549, ,122 988.195  , 9/2 
Fe II ,515.6517, ,123 430.204  , 5/2 
 , , , , 
Fe II ,515.6749, ,110 167.303  , 7/2 
Fe II ,515.69121,2.30E+06,103 421.213  , 13/2 
Fe II ,515.72834,2.11E+07,103 711.610  , 7/2 
Fe II ,515.72834,8.00E+04,85 462.907  , 7/2 
Fe II ,515.75154,5.00E+04,103 680.689  , 9/2 
 , , , , 
Fe II ,515.8014,3.61E-01,21 812.0454 , 3/2 
Fe II ,515.80591, ,123 355.521  , 13/2 
Fe II ,515.8194, ,108 712.415  , 5/2 
Fe VII ,515.877,5.25E-02,20 428.8    ,1
Fe II , ,4.76E-01,21 251.5833 , 13/2 
 , , , , 
Fe I ,515.90573, ,53 925.200  ,1
Fe II ,515.9259, ,123 251.479  , 11/2 
Fe II ,515.99088,5.00E+06,103 364.897  , 5/2 
Fe II ,516.0422, ,124 436.424  , 13/2 
Fe I , ,1.50E-03,19 788.251  ,4
 , , , , 
Fe II ,516.0776,1.80E+06,103 698.515  , 5/2 
Fe II ,516.084,9.00E+04,64 286.354  , 7/2 
Fe II ,516.084, ,123 249.656  , 13/2 
Fe I ,516.1297, ,53 925.200  ,1
Fe I ,516.22725, ,53 061.318  ,5
 , , , , 
Fe II ,516.30152, ,123 007.901  , 17/2 
Fe II ,516.35724, ,123 193.101  , 15/2 
Fe II ,516.3958,2.65E-01,27 314.9183 , 7/2 
Fe I ,516.45503,1.60E+06,55 124.938  ,3
Fe I ,516.49102, ,52 768.743  ,4
 , , , , 
Fe I ,516.54103, ,53 393.673  ,4
Fe II ,516.57343, ,122 355.608  , 7/2 
Fe II ,516.61958, ,127 484.682  , 15/2 
Fe I ,516.62819,1.45E+03,19 350.891  ,5
Fe II ,516.65511,2.82E+07,103 676.848  , 7/2 
 , , , , 
Fe I ,516.74881,2.72E+06,31 322.613  ,3
Fe I ,516.7711, ,46 888.517  ,2
Fe II ,516.8712,6.80E+05,103 668.762  , 3/2 
Fe I ,516.88978,3.83E+03,19 757.032  ,3
Fe II ,516.90282,4.20E+06,42 658.2444 , 7/2 
 , , , , 
Fe I ,516.9298, ,52 213.230  ,3
Fe II ,516.98008,2.00E+06,104 022.961  , 7/2 
Fe II ,517.01048, ,124 400.143  , 13/2 
Fe II ,517.05021, ,128 110.204  , 13/2 
Fe II ,517.07762,1.94E+07,103 661.038  , 5/2 
 , , , , 
Fe II ,517.0888, ,127 515.212  , 13/2 
Fe I ,517.1314, ,59 301.904  ,4
Fe II ,517.14384, ,123 396.256  , 15/2 
Fe I ,517.1596,4.46E+05,31 307.245  ,4
Fe I ,517.16728, ,48 702.535  ,4
 , , , , 
Fe II , ,1.98E-01,38 214.503  , 3/2 
Fe I ,517.31249, ,43 108.917  ,4
Fe I ,517.3503, ,43 442.705  ,4
Fe II ,517.4749, ,123 002.306  , 11/2 
Fe II ,517.5,4.10E+06,103 645.256  , 3/2 
 , , , , 
Fe II ,517.53971,1.80E+05,81 639.253  , 5/2 
Fe VI , ,6.20E-01,21 315.0    , 9/2 
Fe II ,517.67107, ,123 018.433  , 15/2 
Fe II ,517.70181, ,80 346.060  , 1/2 
Fe II ,517.70181,2.63E+07,103 024.341  , 5/2 
 , , , , 
Fe II ,517.72337, ,123 430.204  , 5/2 
Fe I ,517.72337,1.20E+05,49 108.896  ,4
Fe II ,517.7389, ,122 954.144  , 19/2 
Fe II ,517.7522, ,123 015.399  , 13/2 
Fe II ,517.77758, ,122 952.738  , 17/2 
 , , , , 
Fe II ,517.83741,5.80E+07,103 437.327  , 1/2 
Fe II ,517.8529, ,122 988.195  , 9/2 
Fe III ,517.86, ,219 743.24   ,1
Fe I ,517.88002,4.20E+05,54 683.322  ,4
Fe II ,517.95354, ,123 007.901  , 17/2 
 , , , , 
Fe II ,518.03116,5.10E+07,103 110.835  , 3/2 
Fe II ,518.1964,4.14E-01,22 409.8178 , 1/2 
Fe II ,518.1965, ,45 079.9019 , 5/2 
Fe II ,518.2161, ,127 869.205  , 11/2 
Fe I ,518.2223, ,59 522.714  ,3
 , , , , 
Fe II ,518.2356, ,123 355.521  , 13/2 
Fe II ,518.34878,1.80E+06,103 418.280  , 1/2 
Fe II ,518.37157, ,123 037.483  , 11/2 
Fe II ,518.41757, ,122 990.633  , 13/2 
Fe I ,518.41757, ,54 066.518  ,4
 , , , , 
Fe I ,518.42657,3.80E+06,53 830.975  ,3
Fe II , ,2.42E-02,21 711.8963 , 7/2 
Fe I ,518.57257, ,48 098.293  ,6
Fe II ,518.59, ,123 251.479  , 11/2 
Fe II , ,1.52E-01,38 164.220  , 5/2 
 , , , , 
Fe II ,518.6388, ,123 249.656  , 13/2 
Fe II ,518.6706, ,123 026.355  , 9/2 
Fe II ,518.6867,2.64E+07,103 698.515  , 5/2 
Fe II ,518.6978, ,106 846.649  , 3/2 
Fe III ,518.761,8.00E+06,219 655.73   ,2
 , , , , 
Fe I ,518.79138,2.11E+06,52 682.920  ,2
Fe II ,518.88251, ,123 441.099  , 11/2 
Fe II ,518.9003, ,110 167.303  , 7/2 
Fe II ,518.9003, ,122 910.924  , 15/2 
Fe II ,518.9003, ,123 037.483  , 11/2 
 , , , , 
Fe II ,518.9362, ,127 895.245  , 13/2 
Fe II ,518.9755, ,122 946.458  , 7/2 
Fe II ,518.9865, ,108 391.507  , 9/2 
Fe II ,519.00057, ,124 661.304  , 13/2 
Fe II ,519.0735,7.60E+06,103 391.352  , 3/2 
 , , , , 
Fe II ,519.09147,1.03E+07,103 969.814  , 7/2 
Fe I ,519.14546,2.32E+07,43 763.980  ,1
Fe II ,519.2004, ,123 026.355  , 9/2 
Fe I ,519.23439,1.34E+07,43 434.627  ,3
Fe II ,519.26157, ,122 355.608  , 7/2 
 , , , , 
Fe II ,519.27482, ,122 355.101  , 9/2 
Fe II ,519.28561,6.10E+06,103 676.286  , 1/2 
Fe II ,519.37338, ,123 441.099  , 11/2 
Fe III ,519.385, ,89 085.20   ,3
Fe III ,519.407, ,89 085.20   ,3
 , , , , 
Fe II ,519.43811, ,122 952.738  , 17/2 
Fe II ,519.48884,4.80E+07,103 668.762  , 3/2 
Fe II ,519.48884, ,127 893.010  , 15/2 
Fe I ,519.49414,2.87E+05,31 805.071  ,3
Fe II ,519.52543, ,123 435.460  , 9/2 
 , , , , 
Fe II ,519.5318, ,123 435.246  , 7/2 
Fe II ,519.54718, ,113 230.351  , 3/2 
Fe I ,519.54719, ,53 281.689  ,5
Fe II ,519.59369, ,123 414.735  , 13/2 
Fe I ,519.60593, ,53 568.751  ,2
 , , , , 
Fe II ,519.63391, ,122 990.633  , 13/2 
Fe II ,519.64398,9.60E+06,102 952.170  , 5/2 
Fe II ,519.6978,3.40E+05,103 661.038  , 5/2 
Fe II ,519.7503, ,123 427.132  , 11/2 
Fe II ,519.75678,5.50E+05,45 289.8248 , 3/2 
 , , , , 
Fe I ,519.79369,2.00E+06,53 925.200  ,1
Fe I ,519.87108,3.62E+05,37 157.566  ,2
Fe III ,519.9079, , ,  
Fe II ,519.91186,4.10E+07,102 942.256  , 7/2 
Fe II ,519.918,1.43E-01,27 620.4033 , 5/2 
 , , , , 
Fe II ,520.07977,5.70E+07,103 034.819  , 3/2 
Fe I ,520.22561, ,53 545.833  ,3
Fe I ,520.23357,5.11E+05,36 766.966  ,3
Fe II ,520.25911,5.90E+06,102 942.256  , 7/2 
Fe II ,520.36342,3.15E+07,103 024.341  , 5/2 
 , , , , 
Fe II ,520.39086, ,107 176.093  , 1/2 
Fe I ,520.45823,2.29E+03,19 912.495  ,2
Fe I ,520.495, ,43 325.964  ,3
Fe II ,520.569, ,122 910.924  , 15/2 
Fe II ,520.60372,2.10E+05,92 695.398  , 5/2 
 , , , , 
Fe I ,520.79372,3.20E+05,48 516.138  ,1
Fe II ,520.8259, ,123 168.704  , 13/2 
Fe I ,520.85936,6.23E+06,45 333.875  ,2
Fe II ,520.966, ,122 355.101  , 9/2 
Fe I ,520.98843, ,45 294.846  ,5
 , , , , 
Fe III ,521.046,3.55E+07,219 093.01   ,5
Fe III ,521.184, ,219 566.25   ,3
Fe II ,521.28315,1.54E+07,104 022.961  , 7/2 
Fe II ,521.35337,7.10E+06,104 046.419  , 5/2 
Fe I ,521.3841, ,56 337.126  ,3
 , , , , 
Fe II ,521.39516,1.36E+07,103 701.778  , 9/2 
Fe II ,521.40035, ,123 238.446  , 15/2 
Fe II ,521.40546,7.70E+06,102 887.172  , 7/2 
Fe II ,521.434,8.00E+05,103 857.804  , 5/2 
Fe II ,521.44901,6.00E+04,85 184.773  , 9/2 
 , , , , 
Fe II ,521.44901,7.80E+06,103 882.740  , 7/2 
Fe I ,521.4608, ,53 808.356  ,1
Fe I ,521.51803,1.10E+07,45 509.152  ,1
Fe II ,521.5347,2.45E+07,102 882.424  , 9/2 
Fe II ,521.58459,1.42E+07,102 893.426  , 11/2 
 , , , , 
Fe I ,521.62737,3.47E+05,32 133.991  ,2
Fe II ,521.68585,7.40E+07,103 874.040  , 9/2 
Fe II ,521.68585,9.60E+07,103 691.094  , 11/2 
Fe I ,521.7389,2.41E+06,45 061.329  ,3
Fe I ,521.79189,1.56E+06,48 516.138  ,1
 , , , , 
Fe III ,521.812,5.64E+07,219 162.56   ,6
Fe III ,521.812,9.00E+06,218 860.76   ,2
Fe III ,521.812,1.60E+07,198 337.17   ,3
Fe II ,521.8142, ,122 990.633  , 13/2 
Fe II ,521.8573, ,98 596.488  , 9/2 
 , , , , 
Fe II ,521.88415,1.67E+07,102 882.424  , 9/2 
Fe III ,521.9124,3.50E+07,198 333.71   ,2
Fe II ,521.9693,2.20E+06,103 680.689  , 9/2 
Fe II ,521.99197,8.60E+06,104 022.961  , 7/2 
Fe II ,522.0076,1.11E-01,21 581.6151 , 9/2 
 , , , , 
Fe I , ,5.70E-01,20 037.816  ,0
Fe II ,522.10376, ,123 629.564  , 9/2 
Fe I ,522.10378, ,53 784.750  ,3
Fe II ,522.12871, ,103 857.804  , 5/2 
Fe II ,522.13315, ,127 484.682  , 15/2 
 , , , , 
Fe III ,522.145, ,219 472.12   ,4
Fe I ,522.1763, ,45 551.767  ,1
Fe III ,522.2,1.60E+07,198 338.77   ,4
Fe II ,522.23518,2.13E+07,103 988.001  , 5/2 
Fe III ,522.242,2.60E+06,198 774.09   ,5
 , , , , 
Fe III ,522.242,1.70E+07,198 337.17   ,3
Fe II ,522.31849, ,123 018.433  , 15/2 
Fe I ,522.31851,4.03E+06,48 460.113  ,0
Fe II ,522.32604,2.76E+07,102 952.170  , 5/2 
Fe II ,522.38035,7.70E+06,102 851.394  , 9/2 
 , , , , 
Fe II ,522.4015, ,123 015.399  , 13/2 
Fe I ,522.4298,2.80E+03,36 686.176  ,4
Fe II ,522.44038,4.60E+07,103 125.717  , 1/2 
Fe II ,522.52137, ,124 421.522  , 15/2 
Fe I ,522.55257,1.32E+03,20 019.635  ,1
 , , , , 
Fe III ,522.5644,1.80E+07,198 338.77   ,4
Fe II ,522.5963, ,123 249.656  , 13/2 
Fe II ,522.5963,1.10E+07,102 942.256  , 7/2 
Fe II ,522.60655, ,123 007.901  , 17/2 
Fe I ,522.60658, ,46 672.540  ,0
 , , , , 
Fe III ,522.616,1.52E+07,198 336.81   ,5
Fe II ,522.63649, ,123 193.101  , 15/2 
Fe II ,522.66778, ,127 515.212  , 13/2 
Fe I ,522.6862,1.36E+07,43 633.533  ,2
Fe II ,522.7076, ,64 040.891  , 7/2 
 , , , , 
Fe I ,522.71503, ,38 678.039  ,2
Fe I ,522.71891,2.89E+06,31 686.351  ,2
Fe II ,522.73174,4.70E+07,103 969.814  , 7/2 
Fe II ,522.74857,1.22E+08,103 421.213  , 13/2 
Fe II ,522.7582,7.00E+05,73 187.318  , 1/2 
 , , , , 
Fe II ,522.77614,6.40E+06,103 420.207  , 11/2 
Fe III ,522.781,1.22E+07,198 848.60   ,7
Fe I ,522.83764,1.90E+06,53 160.593  ,3
Fe III ,522.863,3.74E+07,219 004.67   ,4
Fe III ,522.863,2.08E+07,198 336.81   ,5
 , , , , 
Fe II ,522.86326, ,127 895.245  , 13/2 
Fe II ,522.88916,1.53E+07,103 385.785  , 7/2 
Fe II ,522.9026, ,123 238.446  , 15/2 
Fe III ,522.9143,3.91E+07,218 923.31   ,3
Fe III ,522.9416,1.18E+07,198 333.92   ,6
 , , , , 
Fe I ,522.98482, ,45 595.086  ,0
Fe I ,522.98739, ,53 155.145  ,4
Fe III ,522.991,3.40E+06,166 421.54   ,4
Fe III ,523.0783,2.64E+07,198 333.92   ,6
Fe II ,523.1056, ,124 400.143  , 13/2 
 , , , , 
Fe I ,523.1388, ,47 929.997  ,4
Fe II ,523.19118,9.10E+06,104 046.419  , 5/2 
Fe II ,523.27809,1.68E+07,102 831.393  , 11/2 
Fe I ,523.294,1.94E+07,42 815.855  ,5
Fe IV , ,5.00E-01,51 394.2    , 7/2 
 , , , , 
Fe II ,523.42788, ,123 219.252  , 17/2 
Fe VI , ,1.40E-03,19 610.8    , 5/2 
Fe VI , ,5.60E-03,19 610.8    , 5/2 
Fe II ,523.46236,2.50E+05,45 079.9019 , 5/2 
