Ion, Observed , Aki, Ek ,J
Fe II ,204.84901,4.80E+06,69 606.567  , 7/2 
 , , , , 
Fe II ,204.87132, ,118 097.578  , 5/2 
Fe II ,204.90508,2.70E+06,103 019.688  , 13/2 
Fe III ,204.9395,1.20E+08,122 628.53   ,2
Fe II ,204.9532, ,69 606.567  , 7/2 
Fe II ,204.9774, ,62 244.515  , 3/2 
 , , , , 
Fe III ,205.0744, ,118 443.27   ,3
Fe II ,205.10336,3.70E+07,65 109.691  , 7/2 
Fe III ,205.1846, ,132 080.04   ,3
Fe III ,205.2057,3.50E+06,125 673.05   ,2
Fe III ,205.2277, ,136 612.84   ,4
 , , , , 
Fe II ,205.2287,3.00E+06,74 498.093  , 3/2 
Fe II ,205.2853, ,62 171.624  , 7/2 
Fe III ,205.3301,4.30E+06,158 257.45   ,1
Fe III ,205.3524, ,125 638.11   ,3
Fe II ,205.36945, ,62 151.554  , 5/2 
 , , , , 
Fe III ,205.4482, ,191 118.96   ,3
Fe III ,205.4482,6.60E+07,142 046.98   ,4
Fe III ,205.4647, ,142 046.98   ,4
Fe III ,205.4647, ,118 350.42   ,4
Fe II ,205.4793, ,62 125.604  , 3/2 
 , , , , 
Fe II ,205.52677,3.10E+07,67 000.530  , 5/2 
Fe II ,205.55984, ,107 298.265  , 5/2 
Fe III ,205.5862,1.80E+08,132 785.41   ,4
Fe III ,205.616,2.50E+08,122 346.75   ,3
Fe III ,205.67, ,118 443.27   ,3
 , , , , 
Fe II ,205.6757,3.60E+06,96 279.234  , 5/2 
Fe II ,205.6952, ,75 915.080  , 5/2 
Fe III ,205.7063,3.50E+08,125 673.05   ,2
Fe II ,205.73325,2.80E+06,62 065.528  , 7/2 
Fe III ,205.7928,4.40E+08,145 618.22   ,2
 , , , , 
Fe I ,205.8105, ,60 549.116  ,5
Fe II ,205.8126, ,93 487.653  , 7/2 
Fe II ,205.8172, ,62 244.515  , 3/2 
Fe III ,205.8204, ,125 673.05   ,2
Fe II ,205.8345, ,115 030.664  , 9/2 
 , , , , 
Fe III ,205.8567,5.00E+08,131 991.74   ,7
Fe II ,205.8577, ,112 987.144  , 5/2 
Fe III ,205.904, ,118 246.74   ,3
Fe II ,205.9457, ,73 969.761  , 11/2 
Fe II ,205.9582, ,73 966.843  , 13/2 
 , , , , 
Fe II ,205.961784,1.60E+07,108 807.527  , 5/2 
Fe III ,205.9686,4.10E+08,125 638.11   ,3
Fe III ,206.0557, ,137 209.90   ,4
Fe III ,206.1214, ,132 659.48   ,4
Fe III ,206.1557,5.10E+08,89 491.77   ,1
 , , , , 
Fe II ,206.15782, ,118 097.578  , 5/2 
Fe III ,206.176,4.63E+08,125 443.72   ,4
Fe III ,206.2089,6.80E+07,141 002.97   ,4
Fe II ,206.21173, ,62 151.554  , 5/2 
Fe II ,206.27445,1.00E+07,103 334.14   , 5/2 
 , , , , 
Fe II ,206.279, ,64 831.951  , 9/2 
Fe III ,206.2981, ,132 105.12   ,2
Fe II ,206.3215, ,62 125.604  , 3/2 
Fe II ,206.367747,1.90E+07,64 286.354  , 7/2 
Fe II ,206.4223, ,98 505.022  , 5/2 
 , , , , 
Fe III ,206.4985,2.60E+07,157 981.97   ,3
Fe III ,206.5269,3.00E+08,179 261.36   ,2
Fe III ,206.5269,2.90E+07,138 187.96   ,3
Fe III ,206.5489,8.00E+07,179 261.36   ,2
Fe II ,206.56889, ,108 778.889  , 3/2 
 , , , , 
Fe II ,206.5757,1.10E+06,98 536.011  , 7/2 
Fe II ,206.60082,2.30E+07,67 273.833  , 3/2 
Fe II ,206.6171, ,86 547.427  , 5/2 
Fe II ,206.6352, ,110 428.305  , 5/2 
Fe II ,206.70691,2.10E+06,108 807.527  , 5/2 
 , , , , 
Fe II ,206.70691, ,98 505.022  , 5/2 
Fe III ,206.7316,1.60E+08,138 264.58   ,6
Fe II ,206.7317, ,112 397.186  , 9/2 
Fe II ,206.7669, ,122 315.037  , 11/2 
Fe II ,206.7669,5.30E+06,98 536.011  , 7/2 
 , , , , 
Fe II ,206.791366,4.10E+07,69 650.481  , 5/2 
Fe II ,206.79995,1.70E+07,107 006.684  , 9/2 
Fe II ,206.8035, ,110 065.766  , 5/2 
Fe II ,206.8035, ,62 244.515  , 3/2 
Fe III ,206.8254,4.80E+08,89 334.88   ,2
 , , , , 
Fe II ,206.8319,3.70E+06,86 547.427  , 5/2 
Fe III ,206.8592, ,118 163.70   ,2
Fe III ,206.864, ,118 163.70   ,2
Fe II ,206.8766, ,73 751.276  , 9/2 
Fe III ,206.89, ,138 103.16   ,4
 , , , , 
Fe II ,206.8943,3.50E+06,86 482.560  , 7/2 
Fe II ,206.9655, ,61 974.931  , 3/2 
Fe II ,206.9702, ,108 571.060  , 9/2 
Fe III ,206.9812,1.60E+07,136 200.07   ,3
Fe II ,206.99613,1.30E+07,75 915.080  , 5/2 
 , , , , 
Fe II ,207.03342,1.50E+07,75 600.900  , 7/2 
Fe III ,207.0549,3.36E+08,131 710.73   ,5
Fe II ,207.0555, ,114 212.377  , 7/2 
Fe II ,207.06127,9.00E+06,103 183.69   , 7/2 
Fe III ,207.0977, ,138 054.60   ,5
 , , , , 
Fe III ,207.1105, ,138 691.80   ,1
Fe II ,207.17907,3.80E+06,66 612.659  , 3/2 
Fe II ,207.1808, ,61 726.069  , 7/2 
Fe III ,207.188, ,135 097.01   ,3
Fe II ,207.1968,4.30E+06,110 570.312  , 7/2 
 , , , , 
Fe I ,207.2059, ,60 806.670  ,3
Fe III ,207.2249,1.30E+08,182 685.29   ,2
Fe II ,207.2585,1.10E+07,84 359.779  , 3/2 
Fe I ,207.2693, ,48 231.280  ,5
Fe III ,207.284,6.00E+06,182 671.50   ,1
 , , , , 
Fe II ,207.31341,2.40E+06,62 125.604  , 3/2 
Fe III , ,5.00E-01,49 149.58   ,0
Fe II ,207.3525,9.00E+06,98 354.656  , 5/2 
Fe III ,207.3726, ,131 445.12   ,2
Fe II ,207.3875,4.90E+06,98 391.320  , 7/2 
 , , , , 
Fe II ,207.41886,2.30E+06,64 040.891  , 7/2 
Fe I ,207.41887, ,60 172.464  ,3
Fe III ,207.4232,2.60E+07,138 103.16   ,4
Fe II ,207.51141,2.30E+06,73 603.537  , 11/2 
Fe II ,207.5564, ,73 969.761  , 11/2 
 , , , , 
Fe II ,207.56777,5.40E+06,66 522.310  , 5/2 
Fe III ,207.6328,1.40E+07,138 054.60   ,5
Fe III ,207.6923,4.20E+06,136 796.90   ,3
Fe III ,207.709, ,134 976.04   ,3
Fe II ,207.72358,2.60E+07,98 338.357  , 3/2 
 , , , , 
Fe I ,207.7348, ,48 122.928  ,3
Fe II ,207.7348, ,109 455.629  , 5/2 
Fe I ,207.75029, ,60 095.599  ,4
Fe III ,207.7749, ,132 785.41   ,4
Fe III ,207.7749, ,157 684.17   ,2
 , , , , 
Fe II ,207.8053, ,84 359.779  , 3/2 
Fe II ,207.81607,2.80E+06,63 948.803  , 9/2 
Fe II ,207.84064, ,108 539.473  , 5/2 
Fe III ,207.8721,8.00E+06,134 938.17   ,2
Fe II ,207.89504, ,109 811.940  , 9/2 
 , , , , 
Fe III ,207.899,4.70E+08,89 085.20   ,3
Fe III ,207.9295,2.40E+07,141 466.65   ,3
Fe II ,207.94912,1.10E+06,108 518.643  , 7/2 
Fe III ,208.0232,8.00E+07,141 469.38   ,1
Fe II ,208.024296,1.90E+07,64 425.405  , 5/2 
 , , , , 
Fe II ,208.0356, ,98 196.137  , 3/2 
Fe II ,208.0464, ,114 428.410  , 7/2 
