Ion, Observed , Aki, Ek ,J,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,6.15E+00,76 665.35  , 1/2 ,,,,,,,,,,,,,,
Si II , ,7.13E-02,76 665.35  , 1/2 ,,,,,,,,,,,,,,
Si I ,297.0355,6.00E+04,39 955.053 ,2,,,,,,,,,,,,,,
Si IV ,297.152,9.24E+06,327 361.97  , 5/2 ,,,,,,,,,,,,,,
Si IV ,297.152,9.70E+06,327 361.97  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,297.152,4.62E+05,327 361.97  , 5/2 ,,,,,,,,,,,,,,
Si II , ,5.44E+01,76 665.35  , 1/2 ,,,,,,,,,,,,,,
Si III ,298.052,2.37E+05,176 487.19  ,1,,,,,,,,,,,,,,
Si III , ,8.24E+04,176 487.19  ,1,,,,,,,,,,,,,,
Si X , ,1.64E+07,2 064 590     , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,298.7645,2.66E+06,39 760.285 ,1,,,,,,,,,,,,,,
Si III , ,4.15E+05,247 935.39  ,2,,,,,,,,,,,,,,
Si I , ,6.57E-04,33 326.053 ,2,,,,,,,,,,,,,,
Si I , ,1.45E-03,33 326.053 ,2,,,,,,,,,,,,,,
Si I ,300.6739,1.10E+03,33 326.053 ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,301.309,5.67E+06,248 168.04  ,2,,,,,,,,,,,,,,
Si III , ,1.89E+06,248 168.04  ,2,,,,,,,,,,,,,,
Si I ,302.0004,3.30E+03,33 326.053 ,2,,,,,,,,,,,,,,
Si I , ,1.09E-03,33 326.053 ,2,,,,,,,,,,,,,,
Si II ,302.155, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,2.58E+06,332 759.92  , 3/2 ,,,,,,,,,,,,,,
Si III , ,1.35E+00,209 559.33  ,3,,,,,,,,,,,,,,
Si IV , ,2.71E+06,332 743.87  , 1/2 ,,,,,,,,,,,,,,
Si III , ,7.11E-01,209 531.40  ,2,,,,,,,,,,,,,,
Si II ,303, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VII , ,1.75E+05,1 499 470     ,2,,,,,,,,,,,,,,
Si III , ,3.09E+06,247 953.69  ,1,,,,,,,,,,,,,,
Si III , ,1.85E+06,247 953.69  ,1,,,,,,,,,,,,,,
Si III , ,2.46E+06,247 953.69  ,1,,,,,,,,,,,,,,
Si III ,303.473,4.50E+07,242 473.66  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,303.729,3.93E+06,242 473.66  ,3,,,,,,,,,,,,,,
Si III , ,7.35E+06,247 871.66  ,0,,,,,,,,,,,,,,
Si III ,304.093,4.87E+07,242 474.81  ,5,,,,,,,,,,,,,,
Si III , ,3.05E+06,242 473.86  ,4,,,,,,,,,,,,,,
Si III , ,5.97E+04,242 473.66  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,304.157, , ,  ,,,,,,,,,,,,,,
Si II ,304.219, , ,  ,,,,,,,,,,,,,,
Si II ,304.369, , ,  ,,,,,,,,,,,,,,
Si III , ,2.99E+05,234 442.18  ,2,,,,,,,,,,,,,,
Si III , ,4.48E+06,234 442.18  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,304.385, , ,  ,,,,,,,,,,,,,,
Si III ,304.393,2.51E+07,234 442.18  ,2,,,,,,,,,,,,,,
Si III , ,7.48E+06,234 428.40  ,1,,,,,,,,,,,,,,
Si III ,304.508,2.24E+07,234 428.40  ,1,,,,,,,,,,,,,,
Si II ,304.577, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.97E+07,234 415.07  ,0,,,,,,,,,,,,,,
Si II ,304.83, , ,  ,,,,,,,,,,,,,,
Si II ,305.318, , ,  ,,,,,,,,,,,,,,
Si VI , ,1.71E+03,1 182 894     , 1/2 ,,,,,,,,,,,,,,
Si III ,306.824,5.15E+07,248 772.86  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.06E+07,248 772.86  ,1,,,,,,,,,,,,,,
Si III , ,1.01E+07,248 772.86  ,1,,,,,,,,,,,,,,
Si III ,308.624,1.46E+08,175 336.26  ,2,,,,,,,,,,,,,,
Si III ,308.646,2.61E+07,175 336.26  ,2,,,,,,,,,,,,,,
Si III , ,1.74E+06,175 336.26  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,309.342,1.30E+08,175 263.10  ,1,,,,,,,,,,,,,,
Si III ,309.365,4.33E+07,175 263.10  ,1,,,,,,,,,,,,,,
Si III ,309.683,1.73E+08,175 230.01  ,0,,,,,,,,,,,,,,
Si VII , ,9.03E+05,1 499 470     ,2,,,,,,,,,,,,,,
Si VI , ,4.77E+03,1 182 311     , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,312.627,4.67E+07,248 168.04  ,2,,,,,,,,,,,,,,
Si III , ,1.54E+07,248 168.04  ,2,,,,,,,,,,,,,,
Si XIII , ,2.05E+07,(17 578 803)    ,1,,,,,,,,,,,,,,
Si VIII , ,2.62E+03,1 660 490     , 5/2 ,,,,,,,,,,,,,,
Si III ,314.737,2.53E+07,247 953.69  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,1.80E-04,250 008.14  , 3/2 ,,,,,,,,,,,,,,
Si IV ,314.956,4.02E+08,250 008.14  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,1.28E-03,250 008.02  , 5/2 ,,,,,,,,,,,,,,
Si III , ,1.51E+07,247 953.69  ,1,,,,,,,,,,,,,,
Si III ,316.161,4.91E+07,235 951.09  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.00E+07,247 953.69  ,1,,,,,,,,,,,,,,
Si III , ,5.99E+07,247 871.66  ,0,,,,,,,,,,,,,,
Si IV , ,5.27E-11,250 008.14  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,7.95E+07,250 008.14  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,6.80E-03,250 008.02  , 5/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,316.571,4.77E+08,250 008.02  , 5/2 ,,,,,,,,,,,,,,
Si III ,318.513,4.04E+08,207 874.09  ,0,,,,,,,,,,,,,,
Si III ,318.602,1.13E+08,230 301.22  ,3,,,,,,,,,,,,,,
Si II ,318.897, , ,  ,,,,,,,,,,,,,,
Si II ,319.225, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,319.309, , ,  ,,,,,,,,,,,,,,
Si II ,319.421, , ,  ,,,,,,,,,,,,,,
Si XIII , ,1.94E+07,(17 578 252)    ,0,,,,,,,,,,,,,,
Si II ,319.469, , ,  ,,,,,,,,,,,,,,
Si II ,319.541, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,319.65,1.14E+08,230 301.66  ,4,,,,,,,,,,,,,,
Si III , ,9.79E+06,230 301.22  ,3,,,,,,,,,,,,,,
Si II ,319.951, , ,  ,,,,,,,,,,,,,,
Si II ,320.249, , ,  ,,,,,,,,,,,,,,
Si II ,320.387,4.45E+07,112 394.56  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,321.003,5.29E+07,112 394.72  , 5/2 ,,,,,,,,,,,,,,
Si II , ,8.82E+06,112 394.56  , 3/2 ,,,,,,,,,,,,,,
Si III ,321.055,1.20E+08,230 302.35  ,5,,,,,,,,,,,,,,
Si III , ,7.50E+06,230 301.66  ,4,,,,,,,,,,,,,,
Si III , ,1.47E+05,230 301.22  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,321.466, , ,  ,,,,,,,,,,,,,,
Si III ,321.625,1.90E+07,235 413.93  ,3,,,,,,,,,,,,,,
Si II ,321.799, , ,  ,,,,,,,,,,,,,,
Si II ,322.044, , ,  ,,,,,,,,,,,,,,
Si II ,322.301, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,323.05,4.75E+07,206 176.08  ,1,,,,,,,,,,,,,,
Si III ,323.395,1.42E+08,206 176.08  ,1,,,,,,,,,,,,,,
Si X , ,1.60E+07,2 066 750     , 3/2 ,,,,,,,,,,,,,,
Si IV , ,4.23E+06,322 337.83  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,3.80E+07,322 337.83  , 3/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,324.162,2.35E+08,206 176.08  ,1,,,,,,,,,,,,,,
Si IV ,324.419,4.21E+07,322 312.93  , 1/2 ,,,,,,,,,,,,,,
Si III , ,4.46E+04,240 314.63  ,3,,,,,,,,,,,,,,
Si III , ,1.22E+06,248 168.04  ,2,,,,,,,,,,,,,,
Si III , ,1.58E+06,240 314.63  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.21E+06,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,1.37E+07,257 831.4   ,2,,,,,,,,,,,,,,
Si III , ,2.54E+06,257 831.4   ,2,,,,,,,,,,,,,,
Si III , ,1.45E+07,257 831.4   ,3,,,,,,,,,,,,,,
Si III , ,7.18E+04,257 831.4   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.63E+07,257 831.4   ,4,,,,,,,,,,,,,,
Si III , ,1.82E+06,257 831.4   ,3,,,,,,,,,,,,,,
Si III , ,1.97E+07,240 262.28  ,1,,,,,,,,,,,,,,
Si III ,325.34,1.82E+07,248 168.04  ,2,,,,,,,,,,,,,,
Si III ,325.374,1.75E+07,240 284.28  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,325.48,1.81E+07,240 314.63  ,3,,,,,,,,,,,,,,
Si III ,325.866,1.01E+08,248 168.04  ,2,,,,,,,,,,,,,,
Si VIII , ,1.99E+02,1 659 320     , 3/2 ,,,,,,,,,,,,,,
Si III ,327.046,2.99E+07,247 953.69  ,1,,,,,,,,,,,,,,
Si III ,327.626,8.91E+07,247 953.69  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,327.926,1.18E+08,247 871.66  ,0,,,,,,,,,,,,,,
Si IV , ,1.17E+05,336 051.55  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,1.12E+05,336 051.55  , 5/2 ,,,,,,,,,,,,,,
Si IV , ,1.85E+04,336 051.55  , 3/2 ,,,,,,,,,,,,,,
Si III , ,1.63E+07,258 013.37  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,7.89E+07,258 978.66  ,0,,,,,,,,,,,,,,
Si III , ,1.66E-02,82 884.41  ,1,,,,,,,,,,,,,,
Si III , ,5.01E+06,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,1.89E+06,234 387.64  ,1,,,,,,,,,,,,,,
Si III , ,1.91E-03,82 884.41  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.23E-02,82 884.41  ,1,,,,,,,,,,,,,,
Si II ,333.314,1.00E+07,111 184.46  , 1/2 ,,,,,,,,,,,,,,
Si II ,333.982,2.00E+07,111 184.46  , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.23E+06,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,3.68E+06,244 866.05  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.23E-01,205 029.09  ,2,,,,,,,,,,,,,,
Si III , ,1.25E-03,82 884.41  ,1,,,,,,,,,,,,,,
Si III , ,2.00E-02,82 884.41  ,1,,,,,,,,,,,,,,
Si III , ,7.02E-06,205 029.09  ,2,,,,,,,,,,,,,,
Si III , ,1.77E-01,205 029.09  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.35E+05,244 736.93  ,1,,,,,,,,,,,,,,
Si III , ,2.01E+06,244 736.93  ,1,,,,,,,,,,,,,,
Si III , ,2.67E+06,244 736.93  ,1,,,,,,,,,,,,,,
Si III , ,2.13E-05,205 029.09  ,2,,,,,,,,,,,,,,
Si III , ,1.62E-02,205 029.09  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,1.49E+04,1 071 129     , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.23E+00,204 828.06  ,3,,,,,,,,,,,,,,
Si III , ,1.08E-10,204 828.06  ,3,,,,,,,,,,,,,,
Si III , ,1.30E-02,204 828.06  ,3,,,,,,,,,,,,,,
Si III , ,3.85E-04,159 069.61  ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,6.54E+05,204 330.79  ,2,,,,,,,,,,,,,,
Si III , ,3.01E+07,254 584.6   ,4,,,,,,,,,,,,,,
Si III , ,2.80E+02,204 330.79  ,2,,,,,,,,,,,,,,
Si III , ,5.71E-02,159 069.61  ,0,,,,,,,,,,,,,,
Si III , ,4.93E+05,245 086.58  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si X , ,5.15E+06,2 064 590     , 1/2 ,,,,,,,,,,,,,,
Si II , ,9.93E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,,
Si II , ,5.64E-03,84 004.26  , 3/2 ,,,,,,,,,,,,,,
Si III , ,1.20E+05,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,1.73E+08,230 270.66  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,348.691,1.54E+08,230 268.62  ,3,,,,,,,,,,,,,,
Si III , ,1.45E+08,230 267.7   ,2,,,,,,,,,,,,,,
Si III , ,2.70E+07,230 267.7   ,2,,,,,,,,,,,,,,
Si III , ,1.92E+07,230 268.62  ,3,,,,,,,,,,,,,,
Si III , ,7.61E+05,230 267.7   ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.56E+05,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,1.31E+04,244 736.93  ,1,,,,,,,,,,,,,,
Si V , ,1.89E+08,1 127 908     ,3,,,,,,,,,,,,,,
Si II , ,6.22E-03,83 801.95  , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.95E+05,244 736.93  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,1.62E+04,1 069 854     , 3/2 ,,,,,,,,,,,,,,
Si III , ,2.58E+05,244 736.93  ,1,,,,,,,,,,,,,,
Si VI , ,5.44E+03,1 069 854     , 3/2 ,,,,,,,,,,,,,,
Si III ,352.594,2.48E+07,242 885.30  ,1,,,,,,,,,,,,,,
Si III , ,4.12E+02,204 828.06  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.57E+05,234 442.18  ,2,,,,,,,,,,,,,,
Si III , ,1.57E+05,234 428.40  ,1,,,,,,,,,,,,,,
Si III , ,1.56E+05,234 415.07  ,0,,,,,,,,,,,,,,
Si III , ,1.77E+03,227 088.72  ,3,,,,,,,,,,,,,,
Si III , ,8.78E+04,227 084.21  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,7.87E+05,227 081.19  ,1,,,,,,,,,,,,,,
Si III , ,9.71E+05,235 951.09  ,1,,,,,,,,,,,,,,
Si III , ,6.20E+04,227 088.72  ,3,,,,,,,,,,,,,,
Si III , ,6.92E+05,227 084.21  ,2,,,,,,,,,,,,,,
Si III ,356.967,5.78E+07,242 537.95  ,0,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,7.02E+05,227 088.72  ,3,,,,,,,,,,,,,,
Si III ,359.047,2.53E+08,204 330.79  ,2,,,,,,,,,,,,,,
Si III , ,1.57E+06,245 086.58  ,3,,,,,,,,,,,,,,
Si III ,362.254,1.25E+07,245 086.58  ,3,,,,,,,,,,,,,,
Si III , ,1.23E+07,257 853.6   ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.08E+06,257 853.6   ,3,,,,,,,,,,,,,,
Si III , ,1.26E+07,257 853.6   ,4,,,,,,,,,,,,,,
Si III , ,1.64E+04,257 853.6   ,3,,,,,,,,,,,,,,
Si III , ,8.37E+05,257 853.6   ,4,,,,,,,,,,,,,,
Si III , ,1.34E+07,257 853.6   ,5,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.08E+06,244 866.05  ,2,,,,,,,,,,,,,,
Si III , ,1.89E+07,254 557.03  ,2,,,,,,,,,,,,,,
Si III , ,2.00E+07,254 557.26  ,3,,,,,,,,,,,,,,
Si III , ,3.50E+06,254 557.03  ,2,,,,,,,,,,,,,,
Si III ,363.945,2.24E+07,254 557.64  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.50E+06,254 557.26  ,3,,,,,,,,,,,,,,
Si III , ,9.86E+04,254 557.03  ,2,,,,,,,,,,,,,,
Si III ,364.512,9.58E+06,244 866.05  ,2,,,,,,,,,,,,,,
Si VI , ,2.37E+03,1 068 813     , 5/2 ,,,,,,,,,,,,,,
Si III , ,2.14E+06,244 866.05  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.02E+07,244 736.93  ,1,,,,,,,,,,,,,,
Si VI , ,2.40E+02,1 068 813     , 5/2 ,,,,,,,,,,,,,,
Si III , ,3.40E+06,244 736.93  ,1,,,,,,,,,,,,,,
Si III , ,2.03E+07,254 855.42  ,3,,,,,,,,,,,,,,
Si III ,368.14,2.51E+07,242 145.10  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,368.215,1.50E+07,242 145.10  ,1,,,,,,,,,,,,,,
Si III , ,5.00E+06,242 145.10  ,1,,,,,,,,,,,,,,
Si IV , ,2.10E+08,276 579.03  , 3/2 ,,,,,,,,,,,,,,
Si IV ,376.244,2.33E+07,276 579.03  , 3/2 ,,,,,,,,,,,,,,
Si III , ,4.42E+05,234 387.64  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,377.315,2.33E+08,276 503.67  , 1/2 ,,,,,,,,,,,,,,
Si III ,379.141,1.76E+08,201 597.73  ,1,,,,,,,,,,,,,,
Si X , ,2.00E-04,394 030     , 3/2 ,,,,,,,,,,,,,,
Si X , ,4.60E+00,394 030     , 3/2 ,,,,,,,,,,,,,,
Si III ,379.611,2.36E+08,201 598.28  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.31E+08,201 597.73  ,1,,,,,,,,,,,,,,
Si III ,380.654,3.14E+08,201 599.48  ,3,,,,,,,,,,,,,,
Si III , ,7.84E+07,201 598.28  ,2,,,,,,,,,,,,,,
Si III , ,8.70E+06,201 597.73  ,1,,,,,,,,,,,,,,
Si III , ,9.79E+06,254 766.75  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,384.246,1.73E+07,240 549.77  ,2,,,,,,,,,,,,,,
Si III , ,9.51E+06,242 145.10  ,1,,,,,,,,,,,,,,
Si II ,385.366,5.11E+06,81 251.32  , 3/2 ,,,,,,,,,,,,,,
Si II ,385.602,4.40E+07,81 251.32  , 3/2 ,,,,,,,,,,,,,,
Si II ,386.26,3.91E+07,81 191.34  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,5.66E+06,242 145.10  ,1,,,,,,,,,,,,,,
Si VIII , ,1.30E-04,530 430     , 3/2 ,,,,,,,,,,,,,,
Si III , ,1.86E+06,242 145.10  ,1,,,,,,,,,,,,,,
Si I ,390.5523,1.33E+07,40 991.884 ,1,,,,,,,,,,,,,,
Si III ,392.447,3.47E+08,230 302.01  ,4,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III ,394.749,5.59E+06,240 314.63  ,3,,,,,,,,,,,,,,
Si III , ,1.39E+06,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,4.17E+06,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,1.54E+05,240 262.28  ,1,,,,,,,,,,,,,,
Si II ,395.574, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.31E+06,240 262.28  ,1,,,,,,,,,,,,,,
Si III , ,3.08E+06,240 262.28  ,1,,,,,,,,,,,,,,
Si III , ,4.33E+04,226 820.28  ,2,,,,,,,,,,,,,,
Si III , ,6.49E+05,226 820.28  ,2,,,,,,,,,,,,,,
Si III ,396.384,3.63E+06,226 820.28  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II ,397.746, , ,  ,,,,,,,,,,,,,,
Si III , ,3.94E+05,201 598.28  ,2,,,,,,,,,,,,,,
Si III ,398.124,2.09E+05,201 597.73  ,1,,,,,,,,,,,,,,
Si II ,399.177, , ,  ,,,,,,,,,,,,,,
Si II ,399.801, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.04E+06,226 527.42  ,1,,,,,,,,,,,,,,
Si III , ,3.13E+06,226 527.42  ,1,,,,,,,,,,,,,,
Si III , ,4.11E+06,226 400.00  ,0,,,,,,,,,,,,,,
Si IV ,403.139,2.29E+07,330 439.66  , 1/2 ,,,,,,,,,,,,,,
Si IV ,403.806,4.59E+07,330 439.66  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si VI , ,2.32E+03,1 094 449     , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.03E+08,258 978.66  ,0,,,,,,,,,,,,,,
Si II , ,2.00E+05,103 885.25  , 3/2 ,,,,,,,,,,,,,,
Si II ,407.545,4.00E+06,103 885.25  , 3/2 ,,,,,,,,,,,,,,
Si II ,407.678,4.00E+06,103 860.74  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si XI , ,3.78E+06,3 204 950?    ,2,,,,,,,,,,,,,,
Si IV ,408.885,1.56E+08,218 428.67  , 3/2 ,,,,,,,,,,,,,,
Si IV , ,1.04E-03,218 428.67  , 3/2 ,,,,,,,,,,,,,,
Si III ,410.186, , ,  ,,,,,,,,,,,,,,
Si III ,410.242,2.46E+07,228 699.75  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si I ,410.2936,6.09E+04,39 760.285 ,1,,,,,,,,,,,,,,
Si III , ,2.07E+07,254 584.8   ,3,,,,,,,,,,,,,,
Si III , ,1.81E+06,254 584.8   ,3,,,,,,,,,,,,,,
Si III , ,2.11E+07,254 584.8   ,4,,,,,,,,,,,,,,
Si III , ,2.25E+07,254 585.75  ,5,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,2.75E+04,254 584.8   ,3,,,,,,,,,,,,,,
Si III , ,1.41E+06,254 584.8   ,4,,,,,,,,,,,,,,
Si III ,411.55,4.07E+07,249 817.94  ,4,,,,,,,,,,,,,,
Si I , , ,39 683.163 ,0,,,,,,,,,,,,,,
Si IV ,411.61,1.53E+08,218 266.86  , 1/2 ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si XIII , ,9.26E+06,(17 603 643)    ,1,,,,,,,,,,,,,,
Si II ,412.807,1.49E+08,103 556.16  , 5/2 ,,,,,,,,,,,,,,
Si II , ,1.07E+07,103 556.16  , 5/2 ,,,,,,,,,,,,,,
Si II ,413.089,1.74E+08,103 556.03  , 7/2 ,,,,,,,,,,,,,,
Si III , ,5.71E+05,240 314.63  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.42E+05,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,1.58E+04,240 262.28  ,1,,,,,,,,,,,,,,
Si XI , ,3.84E+07,3 007 770     ,2,,,,,,,,,,,,,,
Si III , ,4.22E+05,240 284.28  ,2,,,,,,,,,,,,,,
Si III , ,2.34E+05,240 262.28  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.09E+05,240 262.28  ,1,,,,,,,,,,,,,,
Si II ,418.335, , ,  ,,,,,,,,,,,,,,
Si II ,419.072, , ,  ,,,,,,,,,,,,,,
Si III , ,4.93E+01,199 164.10  ,4,,,,,,,,,,,,,,
Si II ,419.813, , ,  ,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si II , ,8.14E+06,124 822.14  , 5/2 ,,,,,,,,,,,,,,
Si II , ,5.82E+05,124 822.14  , 5/2 ,,,,,,,,,,,,,,
Si II , ,8.73E+06,124 822.08  , 7/2 ,,,,,,,,,,,,,,
Si III , ,3.15E+01,199 026.49  ,3,,,,,,,,,,,,,,
Si III , ,5.56E+03,254 007.48  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.97E+05,254 007.48  ,3,,,,,,,,,,,,,,
Si III , ,2.27E+06,254 007.48  ,3,,,,,,,,,,,,,,
Si III , ,2.75E+05,[254 004]    ,2,,,,,,,,,,,,,,
Si III , ,2.19E+06,[254 004]    ,2,,,,,,,,,,,,,,
Si III , ,2.47E+06,[254 002]    ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV , ,1.53E+08,315 230.27  , 5/2 ,,,,,,,,,,,,,,
Si IV ,421.241,1.63E+08,315 230.27  , 7/2 ,,,,,,,,,,,,,,
Si IV ,421.241,1.09E+07,315 230.27  , 5/2 ,,,,,,,,,,,,,,
Si III , ,2.14E+01,198 923.15  ,2,,,,,,,,,,,,,,
Si III , ,7.63E-10,199 026.49  ,3,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,1.56E+01,199 026.49  ,3,,,,,,,,,,,,,,
Si III , ,4.38E-09,198 923.15  ,2,,,,,,,,,,,,,,
Si III , ,2.12E+01,198 923.15  ,2,,,,,,,,,,,,,,
Si III , ,1.93E-08,198 923.15  ,2,,,,,,,,,,,,,,
Si III , ,2.99E+00,198 923.15  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,3.74E+06,249 766.19  ,1,,,,,,,,,,,,,,
Si VI , ,6.69E+02,1 094 449     , 1/2 ,,,,,,,,,,,,,,
Si III , ,1.11E+07,249 766.19  ,1,,,,,,,,,,,,,,
Si IV ,431.41,1.06E+08,299 676.95  , 1/2 ,,,,,,,,,,,,,,
Si III , ,2.55E+05,176 487.19  ,1,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si IV ,432.818,2.12E+08,299 676.95  , 1/2 ,,,,,,,,,,,,,,
Si III ,433.85,1.47E+07,176 487.19  ,1,,,,,,,,,,,,,,
Si III ,434.14,5.25E+05,258 978.66  ,0,,,,,,,,,,,,,,
Si III , ,1.77E+07,249 766.19  ,1,,,,,,,,,,,,,,
Si III , ,1.46E+05,240 284.28  ,2,,,,,,,,,,,,,,
 , , , , ,,,,,,,,,,,,,,
Si III , ,7.30E+05,240 262.28  ,1,,,,,,,,,,,,,,
Si III , ,1.08E+05,240 314.63  ,3,,,,,,,,,,,,,,
Si III , ,6.75E+05,240 284.28  ,2,,,,,,,,,,,,,,
Si III ,437.763,4.14E+06,227 665.09  ,2,,,,,,,,,,,,,,
Si III , ,8.58E+05,240 314.63  ,3,,,,,,,,,,,,,,
