Wavelength (nm),Sum(calc),Al I (1.2e-1),Al II (2.2e-1),Al III (1.7e-5),Ti I (5.1e-2),Ti II (2.8e-1),Ti III (6.0e-4),Fe I (1.0e-1),Fe II (2.3e-1),Fe III (5.1e-5)
420.52,1.249e+3,,1.865e-12,4.232e-22,1.220e-6,2.839e-12,7.785e-7,1.249e+3,5.146e-16,3.571e-9
420.57,9.772e+2,,6.195e-12,4.215e-22,4.045e-7,2.819e-12,1.302e-6,9.772e+2,5.145e-16,3.777e-9
420.62,7.481e+2,,2.002e-11,4.198e-22,1.303e-7,2.800e-12,2.125e-6,7.481e+2,5.143e-16,3.991e-9
420.67,5.601e+2,,6.293e-11,4.182e-22,4.079e-8,2.780e-12,3.387e-6,5.601e+2,5.142e-16,4.216e-9
420.72,4.101e+2,,1.924e-10,4.165e-22,1.241e-8,2.760e-12,5.266e-6,4.101e+2,5.141e-16,4.452e-9
420.76,3.147e+2,,4.610e-10,4.152e-22,4.694e-9,2.745e-12,7.363e-6,3.147e+2,5.140e-16,4.646e-9
420.81,2.223e+2,,1.341e-9,4.135e-22,1.357e-9,2.725e-12,1.095e-5,2.223e+2,5.138e-16,4.885e-9
420.86,1.553e+2,,3.793e-9,4.118e-22,3.811e-10,2.706e-12,1.588e-5,1.553e+2,5.137e-16,5.103e-9
420.91,1.092e+2,,1.044e-8,4.102e-22,1.041e-10,2.686e-12,2.246e-5,1.092e+2,5.136e-16,5.280e-9
420.96,8.027e+1,,2.794e-8,4.085e-22,2.761e-11,2.666e-12,3.096e-5,8.027e+1,5.135e-16,5.394e-9
421.01,6.569e+1,,7.273e-8,4.068e-22,7.119e-12,2.647e-12,4.160e-5,6.569e+1,5.133e-16,5.427e-9
421.06,6.356e+1,,1.842e-7,4.052e-22,1.784e-12,2.627e-12,5.448e-5,6.356e+1,5.132e-16,5.366e-9
421.11,7.296e+1,,4.537e-7,4.035e-22,1.758e-12,2.608e-12,6.950e-5,7.296e+1,5.131e-16,5.212e-9
421.15,8.873e+1,,9.149e-7,4.022e-22,1.737e-12,2.592e-12,8.287e-5,8.873e+1,5.130e-16,5.027e-9
421.20,1.192e+2,,2.144e-6,4.005e-22,1.711e-12,2.572e-12,1.008e-4,1.192e+2,5.129e-16,4.744e-9
421.25,1.627e+2,,4.889e-6,3.988e-22,1.685e-12,2.553e-12,1.195e-4,1.627e+2,5.127e-16,4.439e-9
421.30,2.202e+2,,1.084e-5,3.971e-22,1.659e-12,2.533e-12,1.379e-4,2.202e+2,5.126e-16,4.168e-9
421.35,2.927e+2,,2.340e-5,3.955e-22,1.633e-12,2.513e-12,1.549e-4,2.927e+2,5.125e-16,4.005e-9
421.40,3.805e+2,,4.910e-5,3.938e-22,1.607e-12,2.494e-12,1.693e-4,3.805e+2,5.123e-16,4.037e-9
421.45,4.831e+2,,1.003e-4,3.921e-22,1.581e-12,2.474e-12,1.802e-4,4.831e+2,5.122e-16,4.365e-9
421.50,5.988e+2,,1.991e-4,3.905e-22,1.554e-12,2.455e-12,1.866e-4,5.988e+2,5.121e-16,5.106e-9
421.55,7.244e+2,,3.848e-4,3.888e-22,1.528e-12,2.435e-12,1.880e-4,7.244e+2,5.120e-16,6.383e-9
421.59,8.291e+2,,6.390e-4,3.875e-22,1.508e-12,2.419e-12,1.855e-4,8.290e+2,5.119e-16,7.872e-9
421.64,9.608e+2,,1.175e-3,3.858e-22,1.481e-12,2.400e-12,1.779e-4,9.608e+2,5.117e-16,1.042e-8
421.69,1.088e+3,,2.102e-3,3.841e-22,1.455e-12,2.380e-12,1.660e-4,1.088e+3,5.116e-16,1.380e-8
421.74,1.205e+3,,3.659e-3,3.825e-22,1.429e-12,2.360e-12,1.507e-4,1.205e+3,5.115e-16,1.808e-8
421.79,1.307e+3,,6.197e-3,3.808e-22,1.403e-12,2.341e-12,1.330e-4,1.307e+3,5.114e-16,2.324e-8
421.84,1.390e+3,,1.021e-2,3.791e-22,1.377e-12,2.321e-12,1.142e-4,1.390e+3,5.112e-16,2.917e-8
421.89,1.454e+3,,1.637e-2,3.775e-22,1.351e-12,2.302e-12,9.543e-5,1.454e+3,5.111e-16,3.570e-8
421.94,1.501e+3,,2.552e-2,3.758e-22,1.325e-12,2.282e-12,7.752e-5,1.501e+3,5.110e-16,4.254e-8
421.98,1.529e+3,,3.571e-2,3.745e-22,1.304e-12,2.266e-12,6.435e-5,1.529e+3,5.109e-16,4.799e-8
422.03,1.557e+3,,5.301e-2,3.728e-22,1.278e-12,2.247e-12,4.972e-5,1.557e+3,5.107e-16,5.443e-8
422.08,1.587e+3,,7.657e-2,3.711e-22,1.252e-12,2.227e-12,3.735e-5,1.587e+3,5.106e-16,6.003e-8
422.13,1.626e+3,,1.076e-1,3.695e-22,1.226e-12,2.207e-12,2.729e-5,1.626e+3,5.105e-16,6.438e-8
422.18,1.683e+3,,1.471e-1,3.678e-22,1.200e-12,2.188e-12,1.939e-5,1.683e+3,5.104e-16,6.714e-8
422.23,1.764e+3,,1.958e-1,3.661e-22,1.173e-12,2.168e-12,1.340e-5,1.764e+3,5.102e-16,6.809e-8
422.28,1.874e+3,,2.535e-1,3.645e-22,1.147e-12,2.149e-12,9.002e-6,1.874e+3,5.101e-16,6.714e-8
422.33,2.012e+3,,3.193e-1,3.628e-22,1.121e-12,2.129e-12,5.881e-6,2.011e+3,5.100e-16,6.437e-8
422.37,2.138e+3,,3.766e-1,3.615e-22,1.100e-12,2.113e-12,4.100e-6,2.138e+3,5.099e-16,6.100e-8
422.42,2.310e+3,,4.516e-1,3.598e-22,1.074e-12,2.094e-12,2.546e-6,2.309e+3,5.098e-16,5.560e-8
422.47,2.486e+3,,5.271e-1,3.581e-22,1.048e-12,2.074e-12,1.538e-6,2.485e+3,5.096e-16,4.929e-8
422.52,2.652e+3,,5.985e-1,3.565e-22,1.022e-12,2.054e-12,9.031e-7,2.652e+3,5.095e-16,4.248e-8
422.57,2.795e+3,,6.614e-1,3.548e-22,9.960e-13,2.035e-12,5.157e-7,2.794e+3,5.094e-16,3.560e-8
422.62,2.900e+3,,7.112e-1,3.531e-22,9.699e-13,2.015e-12,2.863e-7,2.900e+3,5.092e-16,2.902e-8
422.67,2.959e+3,,7.442e-1,3.515e-22,9.438e-13,1.996e-12,1.545e-7,2.958e+3,5.091e-16,2.300e-8
422.72,2.966e+3,,7.577e-1,3.498e-22,9.177e-13,1.976e-12,8.111e-8,2.965e+3,5.090e-16,1.774e-8
422.77,2.921e+3,,7.508e-1,3.481e-22,8.916e-13,1.956e-12,4.139e-8,2.920e+3,5.089e-16,1.333e-8
422.81,2.851e+3,,7.308e-1,3.468e-22,8.708e-13,1.941e-12,2.368e-8,2.851e+3,5.088e-16,1.042e-8
422.86,2.731e+3,,6.895e-1,3.451e-22,8.447e-13,1.921e-12,1.149e-8,2.731e+3,5.086e-16,7.533e-9
