Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.2e-1),Fe III (1.1e-4),Ni I (7.3e-3),Ni II (2.3e-2),Ni III (7.6e-7)
204.33,4.133e+0,,4.132e+0,2.099e-4,1.733e-5,,
204.36,8.475e-1,,8.470e-1,3.423e-4,1.571e-4,,
204.38,2.686e-1,,2.675e-1,4.434e-4,6.208e-4,,
204.41,4.592e-2,,4.110e-2,5.925e-4,4.227e-3,,
204.43,2.519e-2,,1.071e-2,6.748e-4,1.380e-2,,
204.46,7.255e-2,,1.234e-3,7.483e-4,7.057e-2,,
204.48,1.914e-1,,2.654e-4,7.554e-4,1.904e-1,,
204.51,7.318e-1,,2.292e-5,7.021e-4,7.311e-1,,
204.53,1.630e+0,,4.067e-6,6.313e-4,1.630e+0,,
204.56,4.701e+0,,2.648e-7,4.947e-4,4.700e+0,,
204.58,8.658e+0,,5.001e-8,3.980e-4,8.657e+0,,
204.6,1.477e+1,,8.490e-8,3.068e-4,1.477e+1,,
204.63,2.854e+1,,1.268e-6,1.924e-4,2.854e+1,,
204.65,4.024e+1,,7.291e-6,1.345e-4,4.024e+1,,
204.68,5.838e+1,,8.722e-5,7.419e-5,5.838e+1,,
204.7,6.801e+1,,4.148e-4,4.903e-5,6.801e+1,,
204.73,7.411e+1,,3.730e-3,2.854e-5,7.411e+1,,
204.75,7.135e+1,,1.467e-2,2.430e-5,7.133e+1,,
204.78,5.848e+1,,9.919e-2,3.160e-5,5.838e+1,,
204.8,4.675e+1,,3.225e-1,4.693e-5,4.643e+1,,
204.83,3.018e+1,,1.639e+0,8.806e-5,2.854e+1,,
204.85,2.316e+1,,4.407e+0,1.268e-4,1.875e+1,,
204.88,2.550e+1,,1.684e+1,1.931e-4,8.660e+0,,
204.9,4.214e+1,,3.743e+1,2.332e-4,4.709e+0,,
204.93,1.092e+2,,1.076e+2,2.688e-4,1.673e+0,,
204.95,1.985e+2,,1.977e+2,2.688e-4,8.532e-1,,
204.97,3.373e+2,,3.366e+2,2.490e-4,6.196e-1,,
205,6.500e+2,,6.488e+2,1.926e-4,1.209e+0,,
205.02,9.161e+2,,9.136e+2,1.475e-4,2.458e+0,,
205.05,1.330e+3,,1.324e+3,8.570e-5,6.602e+0,,
205.07,1.553e+3,,1.541e+3,5.426e-5,1.167e+1,,
205.1,1.703e+3,,1.679e+3,2.369e-5,2.379e+1,,
205.12,1.651e+3,,1.616e+3,1.240e-5,3.478e+1,,
205.15,1.377e+3,,1.324e+3,4.072e-6,5.333e+1,,
205.17,1.118e+3,,1.054e+3,1.769e-6,6.449e+1,,
205.2,7.232e+2,,6.488e+2,4.777e-7,7.437e+1,,
