Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
239.33,2.261e-3,,2.261e-3
239.35,6.737e-3,,6.737e-3
239.38,3.128e-2,,3.128e-2
239.4,8.132e-2,,8.132e-2
239.43,3.081e-1,,3.081e-1
239.45,7.003e-1,,7.003e-1
239.47,1.509e+0,,1.509e+0
239.5,4.323e+0,,4.323e+0
239.52,8.169e+0,,8.169e+0
239.55,1.927e+1,,1.927e+1
239.57,3.207e+1,,3.207e+1
239.6,6.275e+1,,6.275e+1
239.62,9.245e+1,,9.245e+1
239.65,1.517e+2,,1.517e+2
239.67,1.996e+2,,1.996e+2
239.7,2.789e+2,,2.789e+2
239.72,3.322e+2,,3.322e+2
239.75,4.045e+2,,4.045e+2
239.77,4.437e+2,,4.437e+2
239.79,4.738e+2,,4.738e+2
239.82,5.010e+2,,5.010e+2
239.84,5.083e+2,,5.083e+2
239.87,5.073e+2,,5.073e+2
239.89,5.018e+2,,5.018e+2
239.92,4.913e+2,,4.913e+2
239.94,4.844e+2,,4.844e+2
239.97,4.738e+2,,4.738e+2
239.99,4.649e+2,,4.649e+2
240.02,4.463e+2,,4.463e+2
240.04,4.313e+2,,4.313e+2
240.07,4.105e+2,,4.105e+2
240.09,4.026e+2,,4.026e+2
240.11,4.023e+2,,4.023e+2
240.14,4.148e+2,,4.148e+2
240.16,4.264e+2,,4.264e+2
240.19,4.339e+2,,4.339e+2
240.21,4.241e+2,,4.241e+2
240.24,3.804e+2,,3.804e+2
240.26,3.339e+2,,3.339e+2
240.29,2.497e+2,,2.497e+2
240.31,1.927e+2,,1.927e+2
240.34,1.180e+2,,1.180e+2
240.36,7.952e+1,,7.952e+1
240.39,3.968e+1,,3.968e+1
240.41,2.331e+1,,2.331e+1
240.43,1.296e+1,,1.296e+1
240.46,4.842e+0,,4.842e+0
240.48,2.344e+0,,2.344e+0
240.51,7.122e-1,,7.122e-1
240.53,3.004e-1,,3.004e-1
240.56,7.417e-2,,7.417e-2
240.58,2.725e-2,,2.725e-2
240.61,5.468e-3,,5.468e-3
240.63,1.749e-3,,1.749e-3
240.66,2.853e-4,,2.853e-4
240.68,7.948e-5,,7.948e-5
240.71,1.053e-5,,1.053e-5
240.73,2.556e-6,,2.556e-6
