Wavelength (nm),Sum(calc),Fe I (7.7e-2),Fe II (4.2e-1),Fe III (5.7e-5),Ni I (1.2e-1),Ni II (3.8e-1),Ni III (1.3e-5)
204.49,5.065e+0,,6.163e-5,3.844e-4,5.064e+0,,
204.51,1.219e+1,,1.181e-5,3.619e-4,1.218e+1,,
204.54,3.941e+1,,8.582e-7,3.034e-4,3.941e+1,,
204.56,7.834e+1,,1.365e-7,2.550e-4,7.834e+1,,
204.59,1.903e+2,,2.311e-8,1.811e-4,1.903e+2,,
204.61,3.126e+2,,1.062e-7,1.367e-4,3.126e+2,,
204.64,5.702e+2,,1.582e-6,8.329e-5,5.702e+2,,
204.66,7.738e+2,,8.761e-6,5.723e-5,7.738e+2,,
204.69,1.060e+3,,9.898e-5,3.108e-5,1.060e+3,,
204.71,1.189e+3,,4.532e-4,2.069e-5,1.189e+3,,
204.74,1.223e+3,,3.850e-3,1.316e-5,1.223e+3,,
204.76,1.134e+3,,1.457e-2,1.280e-5,1.133e+3,,
204.79,8.761e+2,,9.307e-2,1.965e-5,8.760e+2,,
204.81,6.709e+2,,2.913e-1,2.999e-5,6.706e+2,,
204.83,4.765e+2,,8.450e-1,4.539e-5,4.756e+2,,
204.86,2.498e+2,,3.620e+0,7.654e-5,2.462e+2,,
204.88,1.530e+2,,8.681e+0,9.953e-5,1.443e+2,,
204.91,8.430e+1,,2.796e+1,1.285e-4,5.634e+1,,
204.93,8.333e+1,,5.544e+1,1.386e-4,2.789e+1,,
204.96,1.455e+2,,1.342e+2,1.346e-4,1.123e+1,,
204.98,2.315e+2,,2.201e+2,1.201e-4,1.140e+1,,
205.01,4.294e+2,,4.007e+2,8.770e-5,2.870e+1,,
205.03,6.010e+2,,5.431e+2,6.466e-5,5.787e+1,,
205.06,8.910e+2,,7.433e+2,3.549e-5,1.477e+2,,
205.08,1.084e+3,,8.332e+2,2.163e-5,2.513e+2,,
205.11,1.341e+3,,8.573e+2,8.919e-6,4.840e+2,,
205.13,1.476e+3,,7.945e+2,4.493e-6,6.813e+2,,
205.16,1.601e+3,,6.146e+2,1.395e-6,9.868e+2,,
205.18,1.620e+3,,4.710e+2,5.882e-7,1.149e+3,,
205.21,1.525e+3,,2.739e+2,1.710e-7,1.251e+3,,
205.23,1.378e+3,,1.736e+2,1.327e-7,1.205e+3,,
205.26,1.063e+3,,7.629e+1,2.876e-7,9.871e+2,,
205.28,8.275e+2,,4.086e+1,5.628e-7,7.867e+2,,
205.31,5.057e+2,,1.729e+1,1.412e-6,4.884e+2,,
205.33,3.443e+2,,1.502e+1,2.440e-6,3.293e+2,,
205.36,2.099e+2,,2.817e+1,5.191e-6,1.818e+2,,
205.38,1.975e+2,,4.958e+1,8.450e-6,1.479e+2,,
205.41,2.966e+2,,1.058e+2,1.786e-5,1.908e+2,,
205.43,4.393e+2,,1.603e+2,2.988e-5,2.790e+2,,
205.46,7.468e+2,,2.598e+2,6.419e-5,4.869e+2,,
205.48,9.821e+2,,3.261e+2,1.035e-4,6.560e+2,,
205.51,1.293e+3,,3.979e+2,1.942e-4,8.951e+2,,
205.53,1.416e+3,,4.132e+2,2.755e-4,1.003e+3,,
205.56,1.411e+3,,3.795e+2,4.152e-4,1.031e+3,,
205.58,1.282e+3,,3.261e+2,5.054e-4,9.562e+2,,
205.61,9.659e+2,,2.254e+2,6.079e-4,7.405e+2,,
205.63,7.284e+2,,1.603e+2,6.424e-4,5.681e+2,,
205.65,5.097e+2,,1.057e+2,6.473e-4,4.040e+2,,
205.68,2.595e+2,,4.908e+1,6.096e-4,2.104e+2,,
205.7,1.510e+2,,2.677e+1,5.677e-4,1.243e+2,,
205.73,6.037e+1,,9.358e+0,5.073e-4,5.101e+1,,
205.75,3.438e+1,,4.224e+0,4.830e-4,3.015e+1,,
205.78,3.147e+1,,1.111e+0,4.847e-4,3.036e+1,,
205.8,5.296e+1,,4.151e-1,5.110e-4,5.254e+1,,
205.83,1.345e+2,,8.221e-2,5.739e-4,1.345e+2,,
205.85,2.359e+2,,2.541e-2,6.202e-4,2.358e+2,,
205.88,4.779e+2,,3.788e-3,6.883e-4,4.779e+2,,
205.9,6.967e+2,,9.691e-4,7.476e-4,6.967e+2,,
205.93,1.065e+3,,1.150e-4,9.523e-4,1.065e+3,,
205.95,1.286e+3,,5.471e-5,1.296e-3,1.286e+3,,
205.98,1.481e+3,,3.127e-4,2.554e-3,1.481e+3,,
206,1.481e+3,,1.296e-3,4.282e-3,1.481e+3,,
206.03,1.286e+3,,9.579e-3,8.996e-3,1.286e+3,,
206.05,1.065e+3,,3.309e-2,1.387e-2,1.065e+3,,
206.08,6.969e+2,,1.846e-1,2.345e-2,6.967e+2,,
206.1,4.784e+2,,5.285e-1,3.045e-2,4.778e+2,,
206.13,2.379e+2,,2.224e+0,3.924e-2,2.356e+2,,
206.15,1.392e+2,,5.278e+0,4.233e-2,1.338e+2,,
206.18,6.654e+1,,1.676e+1,4.121e-2,4.974e+1,,
206.2,5.638e+1,,3.295e+1,3.685e-2,2.340e+1,,
206.23,8.550e+1,,7.892e+1,2.707e-2,6.554e+0,,
206.25,1.312e+2,,1.286e+2,2.006e-2,2.553e+0,,
206.28,2.330e+2,,2.324e+2,1.112e-2,5.390e-1,,
206.3,3.141e+2,,3.140e+2,6.827e-3,1.739e-1,,
206.33,4.282e+2,,4.282e+2,2.854e-3,2.767e-2,,
206.35,4.796e+2,,4.796e+2,1.453e-3,7.392e-3,,
206.38,4.948e+2,,4.948e+2,4.589e-4,8.864e-4,,
206.4,4.617e+2,,4.617e+2,1.945e-4,1.961e-4,,
206.43,3.677e+2,,3.677e+2,4.821e-5,1.773e-5,,
206.45,2.964e+2,,2.964e+2,1.922e-5,3.248e-6,,
206.47,2.346e+2,,2.346e+2,9.556e-6,5.521e-7,,
206.5,1.784e+2,,1.784e+2,8.690e-6,3.358e-8,,
206.52,1.678e+2,,1.678e+2,1.477e-5,4.726e-9,,
206.55,1.801e+2,,1.801e+2,5.168e-5,2.166e-10,,
206.57,1.953e+2,,1.953e+2,1.302e-4,2.525e-11,,
206.6,2.116e+2,,2.116e+2,4.923e-4,8.724e-13,,
206.62,2.146e+2,,2.146e+2,1.109e-3,8.422e-14,,
206.65,2.144e+2,,2.144e+2,3.284e-3,9.494e-14,,
206.67,2.203e+2,,2.202e+2,6.184e-3,1.021e-13,,
206.7,2.509e+2,,2.508e+2,1.391e-2,1.128e-13,,
206.72,2.858e+2,,2.858e+2,2.177e-2,1.200e-13,,
206.75,3.439e+2,,3.439e+2,3.706e-2,1.307e-13,,
206.77,3.714e+2,,3.714e+2,4.814e-2,1.378e-13,,
206.8,3.737e+2,,3.736e+2,6.194e-2,1.486e-13,,
206.82,3.453e+2,,3.453e+2,6.674e-2,1.557e-13,,
206.85,2.700e+2,,2.699e+2,6.489e-2,1.664e-13,,
206.87,2.118e+2,,2.117e+2,5.800e-2,1.736e-13,,
206.9,1.359e+2,,1.359e+2,4.262e-2,1.843e-13,,
206.92,1.014e+2,,1.014e+2,3.162e-2,1.915e-13,,
206.95,7.613e+1,,7.611e+1,1.760e-2,2.022e-13,,
206.97,7.273e+1,,7.272e+1,1.088e-2,2.093e-13,,
207,7.645e+1,,7.645e+1,4.683e-3,2.201e-13,,
207.02,7.853e+1,,7.853e+1,2.504e-3,2.272e-13,,
207.05,7.446e+1,,7.446e+1,9.594e-4,2.379e-13,,
207.07,6.622e+1,,6.622e+1,5.382e-4,2.451e-13,,
207.1,4.853e+1,,4.853e+1,2.730e-4,2.558e-13,,
207.12,3.598e+1,,3.598e+1,1.910e-4,2.630e-13,,
207.15,1.998e+1,,1.998e+1,1.131e-4,2.737e-13,,
207.17,1.230e+1,,1.230e+1,7.597e-5,2.809e-13,,
207.2,5.164e+0,,5.163e+0,3.729e-5,2.916e-13,,
207.22,2.637e+0,,2.637e+0,2.135e-5,2.987e-13,,
207.25,8.368e-1,,8.368e-1,8.358e-6,3.095e-13,,
207.27,3.546e-1,,3.546e-1,4.498e-6,3.166e-13,,
207.29,1.395e-1,,1.395e-1,2.874e-6,3.238e-13,,
