Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
216,5.922e+3,1.144e+3,4.779e+3,
216.03,6.190e+3,4.352e+2,5.755e+3,
216.05,7.073e+3,2.101e+2,6.863e+3,
216.08,8.667e+3,6.206e+1,8.605e+3,
216.1,9.440e+3,2.529e+1,9.415e+3,
216.13,9.600e+3,5.791e+0,9.594e+3,
216.15,8.947e+3,1.991e+0,8.945e+3,
216.18,7.094e+3,3.530e-1,7.093e+3,
216.2,5.582e+3,1.023e-1,5.582e+3,
216.23,3.441e+3,1.404e-2,3.441e+3,
216.25,2.322e+3,3.430e-3,2.322e+3,
216.28,1.312e+3,3.641e-4,1.312e+3,
216.3,1.190e+3,7.493e-5,1.190e+3,
216.33,2.281e+3,6.152e-6,2.281e+3,
216.35,4.467e+3,1.067e-6,4.467e+3,
216.38,1.186e+4,6.771e-8,1.186e+4,
216.4,2.115e+4,9.889e-9,2.115e+4,
216.43,4.440e+4,4.853e-10,4.440e+4,
216.45,6.686e+4,5.970e-11,6.686e+4,
216.48,1.087e+5,2.263e-12,1.087e+5,
216.5,1.380e+5,2.345e-13,1.380e+5,
216.52,1.637e+5,2.192e-13,1.637e+5,
216.55,1.861e+5,1.964e-13,1.861e+5,
216.57,1.861e+5,1.811e-13,1.861e+5,
216.6,1.637e+5,1.583e-13,1.637e+5,
216.62,1.381e+5,1.430e-13,1.381e+5,
216.65,9.432e+4,1.201e-13,9.432e+4,
216.67,6.751e+4,1.049e-13,6.751e+4,
216.7,3.732e+4,8.204e-14,3.732e+4,
216.72,2.519e+4,6.680e-14,2.519e+4,
216.75,1.852e+4,4.393e-14,1.852e+4,
216.77,2.083e+4,2.869e-14,2.083e+4,
216.8,3.254e+4,8.388e-13,3.254e+4,
216.82,4.436e+4,7.314e-12,4.436e+4,
216.85,6.432e+4,1.659e-10,6.432e+4,
216.87,7.613e+4,1.222e-9,7.613e+4,
216.9,8.643e+4,2.150e-8,8.643e+4,
216.92,8.642e+4,1.336e-7,8.642e+4,
216.95,7.607e+4,1.825e-6,7.607e+4,
216.97,6.418e+4,9.578e-6,6.418e+4,
217,4.378e+4,1.015e-4,4.378e+4,
217.02,3.116e+4,4.497e-4,3.116e+4,
217.05,1.647e+4,3.696e-3,1.647e+4,
217.07,9.888e+3,1.383e-2,9.888e+3,
217.1,4.051e+3,8.820e-2,4.051e+3,
217.12,2.055e+3,2.787e-1,2.055e+3,
217.15,6.709e+2,1.379e+0,6.695e+2,
217.17,3.351e+2,3.678e+0,3.314e+2,
217.2,3.123e+2,1.412e+1,2.981e+2,
217.22,6.170e+2,3.181e+1,5.852e+2,
217.25,1.987e+3,9.472e+1,1.892e+3,
217.27,4.087e+3,1.802e+2,3.906e+3,
217.3,1.069e+4,4.163e+2,1.028e+4,
217.32,1.873e+4,6.685e+2,1.806e+4,
217.34,3.073e+4,1.003e+3,2.972e+4,
217.37,5.723e+4,1.625e+3,5.561e+4,
217.39,7.994e+4,2.060e+3,7.788e+4,
217.42,1.171e+5,2.588e+3,1.145e+5,
217.44,1.394e+5,2.769e+3,1.366e+5,
217.47,1.608e+5,2.700e+3,1.581e+5,
217.49,1.634e+5,2.439e+3,1.609e+5,
217.52,1.487e+5,1.845e+3,1.468e+5,
217.54,1.291e+5,1.407e+3,1.277e+5,
217.57,9.276e+4,8.260e+2,9.193e+4,
217.59,6.879e+4,5.320e+2,6.826e+4,
217.62,3.904e+4,2.422e+2,3.880e+4,
217.64,2.473e+4,1.317e+2,2.460e+4,
217.67,1.107e+4,4.654e+1,1.102e+4,
217.69,5.982e+3,2.137e+1,5.961e+3,
217.72,2.108e+3,5.858e+0,2.102e+3,
217.74,9.709e+2,2.271e+0,9.686e+2,
217.77,2.688e+2,4.830e-1,2.683e+2,
217.79,1.053e+2,1.581e-1,1.052e+2,
217.82,2.286e+1,2.609e-2,2.283e+1,
217.84,7.609e+0,7.211e-3,7.602e+0,
217.87,1.292e+0,9.230e-4,1.291e+0,
