Wavelength (nm),Sum(calc),Y I (2.3e-3),Y II (6.3e-2),La I (1.4e-3),La II (6.3e-2),Ce I (1.2e-3),Ce II (6.3e-2),Pr II (6.2e-2),Nd I (8.0e-4),Nd II (6.4e-2),Sm I (8.9e-4),Sm II (6.3e-2),Eu I (1.5e-3),Eu II (6.2e-2),Gd I (1.8e-3),Tb II (6.1e-2),Dy I (1.6e-3),Dy II (6.4e-2),Ho I (3.3e-3),Ho II (6.0e-2),Er I (2.2e-3),Er II (6.3e-2),Tm I (2.0e-3),Tm II (6.3e-2),Yb I (2.0e-3),Yb II (6.3e-2),Lu I (3.9e-3),Lu II (7.2e-2)
222.67,3.922e+2,,,,,,,,,,,,,,,,,,,,,,,,,3.922e+2,,2.030e-13
222.7,1.255e+2,,,,,,,,,,,,,,,,,,,,,,,,,1.255e+2,,2.032e-13
222.72,5.412e+1,,,,,,,,,,,,,,,,,,,,,,,,,5.412e+1,,2.033e-13
222.75,1.359e+1,,,,,,,,,,,,,,,,,,,,,,,,,1.359e+1,,2.036e-13
222.77,4.986e+0,,,,,,,,,,,,,,,,,,,,,,,,,4.986e+0,,2.037e-13
222.8,9.820e-1,,,,,,,,,,,,,,,,,,,,,,,,,9.820e-1,,2.039e-13
222.82,3.066e-1,,,,,,,,,,,,,,,,,,,,,,,,,3.066e-1,,2.041e-13
222.85,4.738e-2,,,,,,,,,,,,,,,,,,,,,,,,,4.738e-2,,2.043e-13
222.88,6.330e-3,,,,,,,,,,,,,,,,,,,,,,,,,6.330e-3,,2.045e-13
222.9,1.526e-3,,,,,,,,,,,,,,,,,,,,,,,,,1.526e-3,,2.047e-13
222.93,1.600e-4,,,,,,,,,,,,,,,,,,,,,,,,,1.600e-4,,2.049e-13
222.95,3.281e-5,,,,,,,,,,,,,,,,,,,,,,,,,3.281e-5,,2.051e-13
222.98,2.699e-6,,,,,,,,,,,,,,,,,,,,,,,,,2.699e-6,,2.053e-13
223,4.708e-7,,,,,,,,,,,,,,,,,,,,,,,,,4.708e-7,,2.054e-13
223.03,3.039e-8,,,,,,,,,,,,,,,,,,,,,,,,,3.039e-8,,2.057e-13
223.06,1.696e-9,,,,,,,,,,,,,,,,,,,,,,,,,1.696e-9,,2.059e-13
223.08,2.284e-10,,,,,,,,,,,,,,,,,,,,,,,,,2.284e-10,,2.060e-13
223.11,1.000e-11,,,,,,,,,,,,,,,,,,,,,,,,,1.000e-11,,2.063e-13
223.13,1.146e-12,,,,,,,,,,,,,,,,,,,,,,,,,1.146e-12,,2.064e-13
223.16,3.938e-14,,,,,,,,,,,,,,,,,,,,,,,,,3.938e-14,,2.066e-13
236.53,1.929e-16,,,,,,,,,,,,1.929e-16,,,,,,,,,,,,,7.091e-14,,3.070e-13
236.55,1.580e-15,,,,,,,,,,,,1.580e-15,,,,,,,,,,,,,7.095e-14,,3.072e-13
236.58,3.329e-14,,,,,,,,,,,,3.329e-14,,,,,,,,,,,,,7.102e-14,,3.074e-13
236.61,6.171e-13,,,,,,,,,,,,6.171e-13,,,,,,,,,,,,,7.109e-14,,3.076e-13
236.63,4.026e-12,,,,,,,,,,,,4.026e-12,,,,,,,,,,,,,7.114e-14,,3.078e-13
236.66,6.032e-11,,,,,,,,,,,,6.032e-11,,,,,,,,,,,,,7.121e-14,,3.080e-13
236.68,3.414e-10,,,,,,,,,,,,3.414e-10,,,,,,,,,,,,,7.126e-14,,3.081e-13
