idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[1, 5, 6, 7, 10]",5,"[410.946, 495.913, 524.9590000000001, 537.1930000000001, 568.8520000000001]","[0.55, 0.0413, 0.242, 0.115, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.7196863938, 3.1645237905999997]","[16.0, 10.0, 16.0, 20.0, 14.0]","[0.008034609283654182, -0.021448241442809816, 0.002767371493524684, 0.014949883934029906, -0.0043036232683989414]",0.021448241442809816
"[1, 5, 6, 8, 9]",5,"[410.946, 495.913, 524.9590000000001, 543.152, 562.054]","[0.55, 0.0413, 0.242, 0.054, 0.13]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.4030910657999995, 3.7499945446]","[16.0, 10.0, 16.0, 14.0, 18.0]","[0.004452186248080636, -0.022510919476033453, 0.0015334431895116796, 0.0014539433710475669, 0.015071346667393445]",0.022510919476033453
"[1, 5, 6, 8, 10]",5,"[410.946, 495.913, 524.9590000000001, 543.152, 568.8520000000001]","[0.55, 0.0413, 0.242, 0.054, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.4030910657999995, 3.1645237905999997]","[16.0, 10.0, 16.0, 14.0, 14.0]","[0.016988844582149776, -0.02146733435617272, 0.0058515571762906005, 0.0022174039906322704, -0.0035904713928998563]",0.02146733435617272
"[1, 5, 6, 9, 10]",5,"[410.946, 495.913, 524.9590000000001, 562.054, 568.8520000000001]","[0.55, 0.0413, 0.242, 0.13, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.3366439847999994, 3.7499945446, 3.1645237905999997]","[16.0, 10.0, 16.0, 18.0, 14.0]","[0.008010967860492824, -0.02155510201344398, 0.0027592281750413727, 0.015115073393329986, -0.004330167415420159]",0.02155510201344398
"[1, 5, 7, 8, 9]",5,"[410.946, 495.913, 537.1930000000001, 543.152, 562.054]","[0.55, 0.0413, 0.115, 0.054, 0.13]","[3.3366446046999996, 2.5629852285999997, 3.7196863938, 3.4030910657999995, 3.7499945446]","[16.0, 10.0, 20.0, 14.0, 18.0]","[-0.0058705792394863066, -0.027113350154062972, 0.015861470437171163, 0.0010187985612914105, 0.01610366039508651]",0.027113350154062972
"[1, 5, 7, 8, 10]",5,"[410.946, 495.913, 537.1930000000001, 543.152, 568.8520000000001]","[0.55, 0.0413, 0.115, 0.054, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.7196863938, 3.4030910657999995, 3.1645237905999997]","[16.0, 10.0, 20.0, 14.0, 14.0]","[0.010661201967668288, -0.025736716602175788, 0.01813234947948565, 0.0020255301911108123, -0.005082365036088832]",0.025736716602175788
"[1, 5, 7, 9, 10]",5,"[410.946, 495.913, 537.1930000000001, 562.054, 568.8520000000001]","[0.55, 0.0413, 0.115, 0.13, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.7196863938, 3.7499945446, 3.1645237905999997]","[16.0, 10.0, 20.0, 18.0, 14.0]","[-0.000511279066585657, -0.025778244771070172, 0.016041211108687045, 0.01623557436262897, -0.005987261633660174]",0.025778244771070172
"[1, 5, 8, 9, 10]",5,"[410.946, 495.913, 543.152, 562.054, 568.8520000000001]","[0.55, 0.0413, 0.054, 0.13, 0.073]","[3.3366446046999996, 2.5629852285999997, 3.4030910657999995, 3.7499945446, 3.1645237905999997]","[16.0, 10.0, 14.0, 18.0, 14.0]","[0.010637938742043773, -0.025890799510872586, 0.002031978392556616, 0.01834065406934364, -0.005119771693071498]",0.025890799510872586
"[1, 6, 7, 8, 9]",5,"[410.946, 524.9590000000001, 537.1930000000001, 543.152, 562.054]","[0.55, 0.242, 0.115, 0.054, 0.13]","[3.3366446046999996, 3.3366439847999994, 3.7196863938, 3.4030910657999995, 3.7499945446]","[16.0, 16.0, 20.0, 14.0, 18.0]","[-0.017972843805751038, -0.006190611725752998, 0.011882484618541633, 9.052700671814684e-05, 0.012190443906244255]",0.017972843805751038
"[1, 6, 7, 8, 10]",5,"[410.946, 524.9590000000001, 537.1930000000001, 543.152, 568.8520000000001]","[0.55, 0.242, 0.115, 0.054, 0.073]","[3.3366446046999996, 3.3366439847999994, 3.7196863938, 3.4030910657999995, 3.1645237905999997]","[16.0, 16.0, 20.0, 14.0, 14.0]","[-0.006241045728092809, -0.002149722993552594, 0.013493647513723922, 0.0008049248205612633, -0.0059078036126399]",0.013493647513723922
"[1, 6, 7, 9, 10]",5,"[410.946, 524.9590000000001, 537.1930000000001, 562.054, 568.8520000000001]","[0.55, 0.242, 0.115, 0.13, 0.073]","[3.3366446046999996, 3.3366439847999994, 3.7196863938, 3.7499945446, 3.1645237905999997]","[16.0, 16.0, 20.0, 18.0, 14.0]","[-0.01338719166734359, -0.0046111324815233945, 0.012097841415819086, 0.012365605716174816, -0.006465122983127014]",0.01338719166734359
"[1, 6, 8, 9, 10]",5,"[410.946, 524.9590000000001, 543.152, 562.054, 568.8520000000001]","[0.55, 0.242, 0.054, 0.13, 0.073]","[3.3366446046999996, 3.3366439847999994, 3.4030910657999995, 3.7499945446, 3.1645237905999997]","[16.0, 16.0, 14.0, 18.0, 14.0]","[-0.0064055608588499124, -0.002206388731826353, 0.0008007323312823958, 0.01376136181848675, -0.005950144559092867]",0.01376136181848675
"[1, 7, 8, 9, 10]",5,"[410.946, 537.1930000000001, 543.152, 562.054, 568.8520000000001]","[0.55, 0.115, 0.054, 0.13, 0.073]","[3.3366446046999996, 3.7196863938, 3.4030910657999995, 3.7499945446, 3.1645237905999997]","[16.0, 20.0, 14.0, 18.0, 14.0]","[-0.020314615290734195, 0.014008860915872223, 0.0001500609827804894, 0.014363779133863788, -0.008208085741782445]",0.020314615290734195
"[2, 3, 4, 5, 6]",5,"[415.608, 430.358, 470.654, 495.913, 524.9590000000001]","[0.42, 0.437, 0.098, 0.0413, 0.242]","[3.1645237905999997, 2.8800529204, 2.6334684784999998, 2.5629852285999997, 3.3366439847999994]","[14.0, 10.0, 6.0, 10.0, 16.0]","[0.024549284910513114, -0.026177077617368316, -0.011686016772933912, -0.010011876191681167, 0.023325685671470253]",0.026177077617368316
