idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1, 5, 6]",4,"[313.12600000000003, 336.261, 346.22, 384.802]","[1.06, 0.934, 0.54, 0.466]","[3.9582871436, 3.7153297365999993, 3.5799373775999994, 3.2210028796]","[11.0, 5.0, 11.0, 7.0]","[0.05027101055023858, 0.004057828738946528, -0.011181945173280305, -0.04314689411590461]",0.05027101055023858
"[0, 2, 3, 4]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 345.366]","[1.06, 0.652, 0.56, 0.266]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[11.0, 7.0, 5.0, 9.0]","[0.038842457818596354, -0.016485494461132566, -0.011552215623186812, -0.010804747734277115]",0.038842457818596354
"[0, 2, 3, 5]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 346.22]","[1.06, 0.652, 0.56, 0.54]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.5799373775999994]","[11.0, 7.0, 5.0, 11.0]","[0.03964759178666971, -0.009688061126114395, -0.007092541153012333, -0.02286698950754279]",0.03964759178666971
"[0, 2, 3, 6]",4,"[313.12600000000003, 342.50800000000004, 344.15000000000003, 384.802]","[1.06, 0.652, 0.56, 0.466]","[3.9582871436, 3.6481090203999997, 3.6308435655999998, 3.2210028796]","[11.0, 7.0, 5.0, 7.0]","[0.05675114155295258, -0.002930269406176078, -0.002953156272392593, -0.05086771587438382]",0.05675114155295258
"[0, 2, 4, 5]",4,"[313.12600000000003, 342.50800000000004, 345.366, 346.22]","[1.06, 0.652, 0.266, 0.54]","[3.9582871436, 3.6481090203999997, 3.6181566921999995, 3.5799373775999994]","[11.0, 7.0, 9.0, 11.0]","[0.04021738757441662, -0.009915627808936844, -0.0069554209879717915, -0.02334633877750808]",0.04021738757441662
"[0, 2, 4, 6]",4,"[313.12600000000003, 342.50800000000004, 345.366, 384.802]","[1.06, 0.652, 0.266, 0.466]","[3.9582871436, 3.6481090203999997, 3.6181566921999995, 3.2210028796]","[11.0, 7.0, 9.0, 7.0]","[0.05793981961902034, -0.00291320471398257, -0.0032930917475983146, -0.05173352315743959]",0.05793981961902034
"[0, 2, 5, 6]",4,"[313.12600000000003, 342.50800000000004, 346.22, 384.802]","[1.06, 0.652, 0.54, 0.466]","[3.9582871436, 3.6481090203999997, 3.5799373775999994, 3.2210028796]","[11.0, 7.0, 11.0, 7.0]","[0.05199831429774482, -0.0007450659647381119, -0.009582631959124288, -0.04167061637388242]",0.05199831429774482
"[0, 3, 4, 5]",4,"[313.12600000000003, 344.15000000000003, 345.366, 346.22]","[1.06, 0.56, 0.266, 0.54]","[3.9582871436, 3.6308435655999998, 3.6181566921999995, 3.5799373775999994]","[11.0, 5.0, 9.0, 11.0]","[0.042356227084764164, -0.008262841103791718, -0.007886609758660998, -0.026206776222311434]",0.042356227084764164
"[0, 3, 4, 6]",4,"[313.12600000000003, 344.15000000000003, 345.366, 384.802]","[1.06, 0.56, 0.266, 0.466]","[3.9582871436, 3.6308435655999998, 3.6181566921999995, 3.2210028796]","[11.0, 5.0, 9.0, 7.0]","[0.06320866629732824, -0.0032233656044593495, -0.0035840211152660395, -0.05640127957760288]",0.06320866629732824
"[0, 3, 5, 6]",4,"[313.12600000000003, 344.15000000000003, 346.22, 384.802]","[1.06, 0.56, 0.54, 0.466]","[3.9582871436, 3.6308435655999998, 3.5799373775999994, 3.2210028796]","[11.0, 5.0, 11.0, 7.0]","[0.05618098170634278, -0.0014448943227315797, -0.01009663231927621, -0.04463945506433503]",0.05618098170634278
"[0, 4, 5, 6]",4,"[313.12600000000003, 345.366, 346.22, 384.802]","[1.06, 0.266, 0.54, 0.466]","[3.9582871436, 3.6181566921999995, 3.5799373775999994, 3.2210028796]","[11.0, 9.0, 11.0, 7.0]","[0.05732205853500688, -0.0018901388586592127, -0.010134788297307462, -0.04529713137904015]",0.05732205853500688
"[1, 2, 3, 4]",4,"[336.261, 342.50800000000004, 344.15000000000003, 345.366]","[0.934, 0.652, 0.56, 0.266]","[3.7153297365999993, 3.6481090203999997, 3.6308435655999998, 3.6181566921999995]","[5.0, 7.0, 5.0, 9.0]","[0.008204289136710008, -0.001866757266909158, -0.002829951540690684, -0.003507580329110277]",0.008204289136710008
"[1, 2, 3, 5]",4,"[336.261, 342.50800000000004, 344.15000000000003, 346.22]","[0.934, 0.652, 0.56, 0.54]","[3.7153297365999993, 3.6481090203999997, 3.6308435655999998, 3.5799373775999994]","[5.0, 7.0, 5.0, 11.0]","[0.009057337786544245, 0.0012645868315712683, -0.0005183913701305165, -0.009803533247984997]",0.009803533247984997
