idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 3, 4]",3,"[354.90020000000004, 437.49330000000003, 488.3682]","[0.397, 0.997, 0.47]","[3.6219465128399997, 3.2417363029599997, 3.6219465128399997]","[7.0, 5.0, 7.0]","[0.024408046286339802, -0.045407076396545065, 0.02099903011020518]",0.045407076396545065
"[0, 3, 5]",3,"[354.90020000000004, 437.49330000000003, 508.7418]","[0.397, 0.997, 0.195]","[3.6219465128399997, 3.2417363029599997, 3.52031006446]","[7.0, 5.0, 9.0]","[0.030980570133379737, -0.03997340924651327, 0.008992839113133644]",0.03997340924651327
"[0, 4, 5]",3,"[354.90020000000004, 488.3682, 508.7418]","[0.397, 0.47, 0.195]","[3.6219465128399997, 3.6219465128399997, 3.52031006446]","[7.0, 7.0, 9.0]","[0.0044010569138228095, 0.003786371328778293, -0.008187428242601158]",0.008187428242601158
"[1, 2, 3]",3,"[371.0287, 377.433, 437.49330000000003]","[1.54, 1.1, 0.997]","[3.52031006446, 3.4134571575799995, 3.2417363029599997]","[9.0, 7.0, 5.0]","[0.021357233091712946, -0.0023964071519124164, -0.018960825939800502]",0.021357233091712946
"[1, 2, 4]",3,"[371.0287, 377.433, 488.3682]","[1.54, 1.1, 0.47]","[3.52031006446, 3.4134571575799995, 3.6219465128399997]","[9.0, 7.0, 7.0]","[0.007650701264590332, -0.013272364644957624, 0.005621663380367417]",0.013272364644957624
"[1, 2, 5]",3,"[371.0287, 377.433, 508.7418]","[1.54, 1.1, 0.195]","[3.52031006446, 3.4134571575799995, 3.52031006446]","[9.0, 7.0, 9.0]","[0.010931170335185869, -0.011940633868418427, 0.0010094635332324603]",0.011940633868418427
"[1, 3, 4]",3,"[371.0287, 437.49330000000003, 488.3682]","[1.54, 0.997, 0.47]","[3.52031006446, 3.2417363029599997, 3.6219465128399997]","[9.0, 5.0, 7.0]","[0.01973800317359442, -0.02782547519025408, 0.00808747201665952]",0.02782547519025408
"[1, 3, 5]",3,"[371.0287, 437.49330000000003, 508.7418]","[1.54, 0.997, 0.195]","[3.52031006446, 3.2417363029599997, 3.52031006446]","[9.0, 5.0, 9.0]","[0.024915412333359588, -0.02721628217572375, 0.002300869842364342]",0.02721628217572375
"[1, 4, 5]",3,"[371.0287, 488.3682, 508.7418]","[1.54, 0.47, 0.195]","[3.52031006446, 3.6219465128399997, 3.52031006446]","[9.0, 7.0, 9.0]","[-0.005001723152252779, 0.005463618536800191, -0.00046189538454741164]",0.005463618536800191
"[2, 3, 4]",3,"[377.433, 437.49330000000003, 488.3682]","[1.1, 0.997, 0.47]","[3.4134571575799995, 3.2417363029599997, 3.6219465128399997]","[7.0, 5.0, 7.0]","[0.008249860118034191, -0.023679043286141455, 0.015429183168107236]",0.023679043286141455
"[2, 3, 5]",3,"[377.433, 437.49330000000003, 508.7418]","[1.1, 0.997, 0.195]","[3.4134571575799995, 3.2417363029599997, 3.52031006446]","[7.0, 5.0, 9.0]","[0.014650835507819537, -0.021010359306954163, 0.006359523799134625]",0.021010359306954163
"[2, 4, 5]",3,"[377.433, 488.3682, 508.7418]","[1.1, 0.47, 0.195]","[3.4134571575799995, 3.6219465128399997, 3.52031006446]","[7.0, 7.0, 9.0]","[-0.01698917747407369, 0.014051158003608122, 0.0029380194704654444]",0.01698917747407369
"[3, 4, 5]",3,"[437.49330000000003, 488.3682, 508.7418]","[0.997, 0.47, 0.195]","[3.2417363029599997, 3.6219465128399997, 3.52031006446]","[5.0, 7.0, 9.0]","[-0.03867410142192329, 0.02872716366614536, 0.009946937755777985]",0.03867410142192329
"[0, 1, 2, 3]",4,"[354.90020000000004, 371.0287, 377.433, 437.49330000000003]","[0.397, 1.54, 1.1, 0.997]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.2417363029599997]","[7.0, 9.0, 7.0, 5.0]","[0.007069373486344885, 0.016133472020767203, -0.004341202536910893, -0.018861642970201153]",0.018861642970201153
"[0, 1, 2, 4]",4,"[354.90020000000004, 371.0287, 377.433, 488.3682]","[0.397, 1.54, 1.1, 0.47]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.6219465128399997]","[7.0, 9.0, 7.0, 7.0]","[0.005359938777449683, 0.003919853785270155, -0.013891120911417365, 0.00461132834869761]",0.013891120911417365
"[0, 1, 2, 5]",4,"[354.90020000000004, 371.0287, 377.433, 508.7418]","[0.397, 1.54, 1.1, 0.195]","[3.6219465128399997, 3.52031006446, 3.4134571575799995, 3.52031006446]","[7.0, 9.0, 7.0, 9.0]","[0.005979211653795585, 0.006374973893611191, -0.012942896863174735, 0.0005887113157678273]",0.012942896863174735
"[0, 1, 3, 4]",4,"[354.90020000000004, 371.0287, 437.49330000000003, 488.3682]","[0.397, 1.54, 0.997, 0.47]","[3.6219465128399997, 3.52031006446, 3.2417363029599997, 3.6219465128399997]","[7.0, 9.0, 5.0, 7.0]","[0.007536090715255975, 0.01292503120678934, -0.026944664028873577, 0.006483542106828291]",0.026944664028873577
"[0, 1, 3, 5]",4,"[354.90020000000004, 371.0287, 437.49330000000003, 508.7418]","[0.397, 1.54, 0.997, 0.195]","[3.6219465128399997, 3.52031006446, 3.2417363029599997, 3.52031006446]","[7.0, 9.0, 5.0, 9.0]","[0.008431203104270674, 0.016658393592771215, -0.02662795355531966, 0.0015383568582777868]",0.02662795355531966
"[0, 1, 4, 5]",4,"[354.90020000000004, 371.0287, 488.3682, 508.7418]","[0.397, 1.54, 0.47, 0.195]","[3.6219465128399997, 3.52031006446, 3.6219465128399997, 3.52031006446]","[7.0, 9.0, 7.0, 9.0]","[0.004817754711609362, -0.008204922561639405, 0.004144869895190584, -0.0007577020451607769]",0.008204922561639405
