Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
246.031,7.591e+3,1.406e-54,7.591e+3,1.663e-60
246.033,9.003e+3,2.408e-53,9.003e+3,1.666e-60
246.034,9.713e+3,9.849e-53,9.713e+3,1.667e-60
246.036,1.108e+4,1.611e-51,1.108e+4,1.670e-60
246.038,1.230e+4,2.555e-50,1.230e+4,1.673e-60
246.039,1.282e+4,1.006e-49,1.282e+4,1.675e-60
246.041,1.364e+4,1.524e-48,1.364e+4,1.678e-60
246.043,1.410e+4,2.240e-47,1.410e+4,1.681e-60
246.044,1.418e+4,8.490e-47,1.418e+4,1.682e-60
246.046,1.405e+4,1.192e-45,1.405e+4,1.685e-60
246.048,1.353e+4,1.623e-44,1.353e+4,1.688e-60
246.049,1.315e+4,5.920e-44,1.315e+4,1.690e-60
246.051,1.216e+4,7.699e-43,1.216e+4,1.693e-60
246.053,1.097e+4,9.713e-42,1.097e+4,1.696e-60
246.054,1.033e+4,3.410e-41,1.033e+4,1.697e-60
246.056,8.995e+3,4.110e-40,8.995e+3,1.700e-60
246.058,7.677e+3,4.803e-39,7.677e+3,1.703e-60
246.059,7.043e+3,1.623e-38,7.043e+3,1.705e-60
246.061,5.858e+3,1.812e-37,5.858e+3,1.708e-60
246.063,4.809e+3,1.962e-36,4.809e+3,1.711e-60
246.064,4.339e+3,6.384e-36,4.339e+3,1.712e-60
246.066,3.512e+3,6.604e-35,3.512e+3,1.715e-60
246.068,2.824e+3,6.625e-34,2.824e+3,1.718e-60
246.069,2.527e+3,2.075e-33,2.527e+3,1.720e-60
246.071,2.017e+3,1.988e-32,2.017e+3,1.723e-60
246.073,1.601e+3,1.848e-31,1.601e+3,1.726e-60
246.074,1.423e+3,5.570e-31,1.423e+3,1.727e-60
246.076,1.117e+3,4.945e-30,1.117e+3,1.730e-60
246.078,8.692e+2,4.259e-29,8.692e+2,1.733e-60
246.079,7.638e+2,1.236e-28,7.638e+2,1.735e-60
246.081,5.865e+2,1.016e-27,5.865e+2,1.738e-60
246.083,4.515e+2,8.109e-27,4.515e+2,1.741e-60
246.084,3.996e+2,2.264e-26,3.996e+2,1.742e-60
246.086,3.287e+2,1.726e-25,3.287e+2,1.745e-60
246.088,3.074e+2,1.276e-24,3.074e+2,1.748e-60
246.089,3.192e+2,3.429e-24,3.192e+2,1.750e-60
246.091,4.000e+2,2.421e-23,4.000e+2,1.753e-60
246.093,5.820e+2,1.658e-22,5.820e+2,1.756e-60
246.094,7.235e+2,4.290e-22,7.235e+2,1.757e-60
246.096,1.142e+3,2.807e-21,1.142e+3,1.760e-60
246.098,1.800e+3,1.781e-20,1.800e+3,1.763e-60
246.099,2.245e+3,4.435e-20,2.245e+3,1.765e-60
246.101,3.429e+3,2.688e-19,3.429e+3,1.768e-60
246.103,5.093e+3,1.580e-18,5.093e+3,1.771e-60
246.104,6.139e+3,3.788e-18,6.139e+3,1.772e-60
246.106,8.720e+3,2.127e-17,8.720e+3,1.775e-60
246.108,1.202e+4,1.159e-16,1.202e+4,1.778e-60
246.109,1.395e+4,2.673e-16,1.395e+4,1.780e-60
246.111,1.836e+4,1.391e-15,1.836e+4,1.783e-60
246.113,2.345e+4,7.019e-15,2.345e+4,1.786e-60
246.114,2.620e+4,1.559e-14,2.620e+4,1.787e-60
246.116,3.196e+4,7.514e-14,3.196e+4,1.790e-60
246.118,3.781e+4,3.513e-13,3.781e+4,1.793e-60
246.119,4.065e+4,7.510e-13,4.065e+4,1.795e-60
246.121,4.594e+4,3.354e-12,4.594e+4,1.798e-60
246.123,5.035e+4,1.453e-11,5.035e+4,1.801e-60
246.124,5.211e+4,2.989e-11,5.211e+4,1.803e-60
246.126,5.456e+4,1.237e-10,5.456e+4,1.806e-60
246.128,5.541e+4,4.964e-10,5.541e+4,1.809e-60
246.129,5.520e+4,9.831e-10,5.520e+4,1.810e-60
246.131,5.355e+4,3.769e-9,5.355e+4,1.813e-60
246.133,5.040e+4,1.401e-8,5.040e+4,1.816e-60
246.134,4.834e+4,2.671e-8,4.834e+4,1.818e-60
246.136,4.349e+4,9.488e-8,4.349e+4,1.821e-60
246.138,3.798e+4,3.269e-7,3.798e+4,1.824e-60
246.139,3.511e+4,5.998e-7,3.511e+4,1.825e-60
246.141,2.938e+4,1.974e-6,2.938e+4,1.828e-60
246.143,2.395e+4,6.299e-6,2.395e+4,1.831e-60
246.144,2.145e+4,1.113e-5,2.145e+4,1.833e-60
246.146,1.697e+4,3.392e-5,1.697e+4,1.836e-60
246.148,1.331e+4,1.003e-4,1.331e+4,1.839e-60
246.149,1.182e+4,1.705e-4,1.182e+4,1.840e-60
246.151,9.518e+3,4.816e-4,9.518e+3,1.843e-60
246.153,8.111e+3,1.320e-3,8.111e+3,1.846e-60
246.154,7.736e+3,2.159e-3,7.736e+3,1.848e-60
246.156,7.624e+3,5.651e-3,7.624e+3,1.851e-60
246.158,8.351e+3,1.434e-2,8.351e+3,1.854e-60
